"Name","TroopLevel","Deprecated","TID","InfoTID","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","DonateXP","DonateCount","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","SpawnOnAttack","StrengthWeight","AuraSpell","AuraSpellLevel","SpawnWhenDamaged","JumpHeightPercent","NoClipping","Squad","WallMovementCost","BurstCount","BurstDelay","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect","VillageType","UnitsInCamp","SpecialAbilityLevel","SpecialAbilityName","SpecialAbilityInfo","SpecialAbilityType","SpecialAbilityAttribute","SpecialAbilityAttribute2","SpecialAbilityAttribute3","SpecialAbilitySpell","SpecialAbilityEffect","SpecialAbilityIcon","DisableDonate","ScaleByTH","EnabledByCalendar","EnabledBySuperLicence","LoseHpPerTick","LoseHpInterval","UpgradeLevelByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget","RetargetAfterHit","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","DamageMultiplierTarget","DamageMultiplierPercent","FrostOnHitTime","FrostOnHitPercent","DoesNotOpenCC","DefensiveTroop","DamageReductionToStorages","BunkerTroops","BunkerTroopCount1","BunkerTroopCount2","BunkerDegenerationTime","BunkerSpawnDist","HeroDamageMultiplier","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","ImmuneToHealing","PreferHeroes","HealerWeight","DefaultSkin","DefenseBonus","SmoothJump","AvoidNoiseInAttackPositionSelection"
"Siege Cart Immobile",1,,"TID_MOVING_CANNON","TID_CHARACTER_INFO_MOVING_CANNON",30,,,0,1200,,,,,,,,,300,2500,,240,1,,,,,,"unit_movingCannon_big","sc/info_moving_cannon.sc","Moving Cannon Cannonball",,,,,"Moving Cannon Deploy","Moving Cannon Attack",,"Moving Cannon Hit",,"FALSE","FALSE","TRUE",,"Moving Cannon Die",,"Capital Siege Cart Broken",,"FALSE",,0,"TombStone_CC",,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,500,500,2000,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,
,2,,,,,,,,1400,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,1600,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,1800,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,2000,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super PEKKA",1,,"TID_SUPER_CHARGED_PEKKA","TID_CHARACTER_INFO_SUPER_CHARGED_PEKKA",40,1,1,150,6800,,,,,,,,,80,1800,,680,,,,,"sc/ui.sc","icon_unit_electric_pekka","unit_charged_pekka_big","sc/info_super_charged_pekka.sc",,,,,,"Pekka Deploy","Pekka Attack",,"Pekka Hit",,"FALSE","FALSE","TRUE",,"Capital PEKKA Pre-Death",,"Capital PEKKA","Super PEKKA Barracks","FALSE",,0,"TombStone_CC",1000,180,"Capital PEKKA Death",1500,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,4000,4000,,"TRUE",,,,,,,,,,,,,,,,,,1,"TID_PEKKA2_ABILITY_NAME","TID_PEKKA2_ABILITY_HELP","DieDamage",1000,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,
,2,,,,,2,2,,7600,,,,,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,8400,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,9200,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,5,5,,10000,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hog Squad",1,,"TID_HOG_RAIDERS","TID_CHARACTER_INFO_HOG_RAIDERS",15,1,1,,,,,,,,,,,,,,,1,,,,"sc/ui.sc","icon_unit_hog_raiders_cc",,,,,,,,,,,,,,,,,,,,"Hog Rider Barracks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hog Squad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hog Glider",1,,"TID_HOG_GLIDER","TID_CHARACTER_INFO_HOG_GLIDER",5,,,230,650,,,,,,,,,25,200,,600,1,,,,"sc/ui.sc","icon_unit_hog_glider","unit_hog_glider_big","sc/info_hog_glider.sc",,,,"Defense",,"HogGlider Deploy","BoarRider Attack",,"BoarRider Hit","Giant Big Hit","TRUE","FALSE","TRUE",1,"Moving Cannon Die",,"Capital Hog Glider",,"FALSE",,0,,,,,,"TRUE","Hog Rider",,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,200,200,,"TRUE",,,,,,,,,,,,,,,,,,1,"TID_HOG_GLIDER_ABILITY_NAME","TID_HOG_GLIDER_ABILITY_HELP","StunTarget",4,,,,"Stun_Building_lvl1",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,700,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,"Stun_Building_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,750,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,"Stun_Building_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,800,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,"Stun_Building_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,850,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,"Stun_Building_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hog Rider",1,,"TID_HOG_RIDER","TID_CHARACTER_INFO_HOG_RIDER",5,,,250,880,,,,,,,,,75,1000,,130,1,,,,"sc/ui.sc","icon_unit_boarRider","unit_boarRider_big","sc/info_hogrider.sc",,,,"Defense",,"BoarRider Deploy","BoarRider Attack",,"BoarRider Hit",,"FALSE","FALSE","TRUE",,"BoarRider Die",,"Capital Hog Rider",,"TRUE",,0,"TombStone_CC",,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,500,500,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,
,2,,,,,,,,960,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,1040,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,1120,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,1200,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Super Dragon",1,,"TID_SUPER_DRAGON","TID_SUPER_DRAGON_INFO",40,1,1,130,5800,,,,,,,,,225,1800,1500,84,1,120,,,"sc/ui.sc","icon_unit_elite_dragon","unit_superdragon_big","sc/info_super_dragon.sc","SuperDragonProjectile",,,,,"Super Dragon Deploy","Super Dragon Attack",,"Capital Super Dragon Hit",,"TRUE","TRUE","TRUE",,"Dragon Die",,"Capital Super Dragon","Super Dragon Barracks","FALSE",,15,"TombStone_CC",,,,,,,,,,,,,,,,,,,,,,,,,,,,10,192,,,,,,,,,,,,,60,,,,,,,,,,4000,4000,,"TRUE",,,,,,,,,,,,,,,,,,1,"TID_SUPER_DRAGON_ABILITY_NAME","TID_SUPER_DRAGON_ABILITY_HELP",,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,
,2,,,,,2,2,,6100,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,6400,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,6700,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,5,5,,7000,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mountain Golem",1,,"TID_MOUNTAIN_GOLEM","TID_MOUNTAIN_GOLEM_INFO",160,1,1,60,30000,,,,,,,,,200,3000,,800,,75,,,"sc/ui.sc","icon_unit_king_golem_cc","unit_mountain_golem","sc/info_mountain_golem.sc",,"GolemExplosion",,,,"Mountain Golem Deploy",,,"Mountain Golem Hit",,"FALSE","FALSE","TRUE",,,,"CapitalMountainGolem","Mountain Golem Barracks","TRUE",,0,"TombStone_CC",300,250,"Mountain Golem Explosion",400,,,,,300,,,,,,,,,,,,"DestroyWalls",0,,20,,,,,,,,,,,,,,,,,,0,,,,,,,,,,16000,16000,,"TRUE",,,,,,,"Mountain Golem Attack",,,,,,,,,,,1,"TID_MOUNTAIN_GOLEM_ABILITY_NAME","TID_MOUNTAIN_GOLEM_ABILITY_INFO","ShootProjectilesOnDeath",5,400,200,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CapitalMountainGolemDefault",16000,,"TRUE"
,2,,,,,2,2,,33500,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,37000,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,40500,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,5,5,,44000,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InfernoDragon",1,,"TID_CHARACTER_INFERNO_DRAGON","TID_CHARACTER_INFERNO_DRAGON_INFO",15,1,1,160,1700,,,,,,,,,275,128,,65,,,,,"sc/ui.sc","icon_unit_elite_infernodragon","unit_elite_infernodragon_big","sc/info_elite_infernodragon.sc",,,,,,"Infdragon Deploy","Inferno Dragon Attack 1","Inferno Fire2","Dark Tower Hit",,"TRUE","TRUE","TRUE",,"Infdragon Die",,"CapitalInfernoDragon","Inferno Dragon Barracks","FALSE",,30,"TombStone_CC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",130,1300,1700,3200,"Inferno Dragon Attack 2","Inferno Dragon Attack 3",,"Capital Inf Dragon Up 2","Capital Inf Dragon Up 3",,60,,,,,,,,,,1500,1500,,"TRUE",,,,,,,,,,,,,,,,,,1,"TID_INFERNO_DRAGON_ABILITY_NAME","TID_INFERNO_DRAGON_ABILITY_HELP",,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,
,2,,,,,2,2,,1900,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,3,3,,2100,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,4,,2300,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SkeletonAir",1,,"TID_SKELETON","TID_CHARACTER_INFO_SKELETON",1,1,1,120,30,,,,,,,,,10,700,,25,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_skeletonwarrior_big","sc/info_witch.sc",,,,,,,"Skeleton Attack",,"Skeleton Hit",,"TRUE","TRUE","TRUE",,"Skeleton Die",,"CapitalAirskeleton",,"FALSE",,100,,,,,,"TRUE",,"TRUE",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,60,,"trap_skeleton_icon",,,,,,,,100,100,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShieldedSkeleton",1,,"TID_SKELETON","TID_CHARACTER_INFO_SKELETON",1,,,200,30,,,,,,,,,30,1000,,25,1,,,,,,"unit_skeletonwarrior_big","sc/info_witch.sc",,,,,,"Skeleton Deploy","Skeleton Attack",,"Skeleton Hit",,"FALSE","FALSE","TRUE",,,,"CapitalSkeletonShielded",,"FALSE",,0,,,,,,"TRUE","Skeleton","TRUE",1,0,"FALSE",,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,50,100,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused4",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused5",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused6",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused7",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused8",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused9",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unused10",1,,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM",30,4,1,110,5100,,,,,,,,,100,2400,,35,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"FALSE","FALSE","TRUE",,,,"Golem_lvl9",,"FALSE",,0,"TombStone_CC",350,110,,0,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,1000,1000,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
