"TID","EN"
"TID_PERSONAL_WAR_PREFERENCE_IN","I'm in"
"TID_PERSONAL_WAR_PREFERENCE_OUT","I'm out"
"TID_PERSONAL_WAR_PREFERENCE_BUTTON_LABEL","Clan Wars"
"TID_INVALID_WAR_MEMBERS_INFO_LOW","Select at least <value> members"
"TID_INVALID_WAR_MEMBERS_INFO_MID","Select either <low> or <high> members"
"TID_INVALID_WAR_MEMBERS_INFO_HIGH","Select maximum <value> members"
"TID_ALLIANCE_WAR_BATTLE_XP","<xpnum> Clan XP earned from successful attacks"
"TID_ALLIANCE_WAR_STAR_XP","<xpnum> Clan XP earned from scoring <num> Stars"
"TID_ALLIANCE_WAR_STAR_XP_DESC","+<xpnum> Clan XP Bonus for winning <num> Stars"
"TID_ALLIANCE_WAR_WIN_XP","+<xpnum> Clan XP Bonus for war win!"
"TID_CLANPERK_DESC_TROOP_REQUEST_VALUE","<value> minutes"
"TID_CLANPERK_DESC_DONATION_LIMIT_VALUE","<value> troops"
"TID_CLANPERK_DESC_DONATION_REFUND_VALUE","<value>% cost"
"TID_CLANPERK_DESC_DONATION_UPGRADE_VALUE","<value> level"
"TID_CLANPERK_DESC_DONATION_UPGRADE_VALUE_PLURAL","<value> levels"
"TID_CLANPERK_DESC_WAR_LOOT_CAPACITY_VALUE","<value>%"
"TID_CLANPERK_DESC_WAR_LOOT_MULT_VALUE","<value>%"
"TID_CLANPERK_DESC_LOCKED_VALUE","Unlocked at Clan Level <num>"
"TID_ALLIANCE_WAR_XP_EARNED","Clan XP earned"
"TID_ALLIANCE_WAR_OBJECTIVES","Clan Objectives"
"TID_CLAN_PERK_BONUS","Perk Bonus"
"TID_WAR_STATS_HEADER_ALLIANCE_EXP","Clan XP"
"TID_WAR_STATS_HEADER_DEFEAT_BASES","Defeat enemy War Bases"
"TID_WAR_STATS_HEADER_DEFEAT_BASES_SHORT","Defeat War Bases"
"TID_WAR_STATS_HEADER_COLLECT_STARS","Score <num> Stars"
"TID_WAR_STATS_HEADER_WIN_WAR","Win war"
"TID_WAR_STATS_HEADER_ALLIANCE_EXP_INFO","Clan XP is awarded at the end of the war"
"TID_WAR_STATS_HEADER_TOTAL","Total"
"TID_REGION_CUSTOM1",
"TID_REGION_CUSTOM2",
"TID_REGION_CUSTOM3",
"TID_REGION_CUSTOM4",
"TID_REGION_CUSTOM5",
"TID_ALLIANCE_TAB_BOOKMARKS","Bookmarks"
"TID_NO_BOOKMARKS","You haven't bookmarked any Clans.\n\nYou can bookmark a Clan from the Clan's info page."
"TID_ERROR_BOOKMARKS_FULL","You have too many bookmarks! Remove a bookmark to add another."
"TID_CHANGE_NAME_ALREADY_USED","Can't change name! One-time name change has already been used on this account."
"TID_CHANGE_NAME_BUTTON","Change Name"
"TID_CHANGE_NAME_TITLE","Change Name"
"TID_SETTINGS_PLAYERNAME_CURRENT","Current Name:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Enter new name:"
"TID_CONTINUE","Continue"
"TID_NAMECHANGE_WARNING","NOTE: You can only change your name ONCE"
"TID_CONFIRM","Confirm"
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Re-enter your new name:"
"TID_NAME_ALREADY_CHANGED","Name can only be changed once."
"TID_NAME_CHANGE_TH_LEVEL_TOO_LOW","Name change is available starting from Town Hall level <level>"
"TID_BOOKMARKS_NOT_LOADED_YET","Unable to load bookmarks. Please try again later."
"TID_ALLIANCE_UNAVAILABLE","Clan information unavailable"
"TID_BOOKMARK_ADDED","Bookmark added"
"TID_BOOKMARK_REMOVED","Bookmark removed"
"TID_BOOKMARKS_FULL","Bookmarks full"
"TID_NAME_CHANGE_ALREADY_USED","You have already changed your name once"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Are you sure you want to change your name?\nYour new name will be:"
"TID_ERROR_NAMES_DONT_MATCH","Names don't match. Please try again."
"TID_BUTTON_ROTATE","Rotate"
"TID_NAME_CHANGED_SUCCESS","Your name was changed!"
"TID_NAME_CHANGE_IN_PROGRESS","Can't change name. Previous name change is in progress."
"TID_PLAYER_TAG","Player tag"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM","Confirm you want to attack"
"TID_BUTTON_WAR_ATTACK_CONFIRM_ATTACK","Attack"
"TID_WAR_ATTACK_CONFIRM_TITLE","Attack Now?"
"TID_WAR_ATTACK_CONFIRM_TROOPS_TEXT","Troops: <number>"
"TID_WAR_ATTACK_CONFIRM_SPELLS_TEXT","Spells: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TEXT","Clan Castle troops and spells: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TROOPS_ONLY_TEXT","Clan Castle troops: <number>"
"TID_WAR_ATTACK_CONFIRM_HEROES","Heroes: <number>"
"TID_WAR_ATTACK_CONFIRM_INFO","Be sure you are ready! Proceeding will use one of your remaining war attacks."
"TID_AIR_BLASTER","Air Sweeper"
"TID_AIR_BLASTER_INFO","Air Sweepers control the sky with strong blasts of air that push back flying enemies. Air Sweepers can only face one direction, so rotate them to maximize their effectiveness."
"TID_STREAM_EVENT_CHANGED_SETTINGS","updated clan settings"
"TID_KNOCKBACK","Push strength: <number> Tiles"
"TID_NEWS_UPDATE_AIR_MORTAR_TITLE",
"TID_NEWS_UPDATE_AIR_MORTAR_TEXT",
"TID_NEWS_UPDATE_BOOKMARKS_TITLE",
"TID_NEWS_UPDATE_BOOKMARKS_TEXT",
"TID_SETTINGS_CLAN_CHAT_FILTER","Filter Clan Chat"
"TID_INFO_SPELL_STORAGE","Spell Storage:"
"TID_BUILDING_MINI_SPELL_FACTORY","Dark Spell Factory"
"TID_MINI_SPELL_FACTORY_INFO","Only the most brilliant or reckless Master Wizards dabble in Dark Elixir brewery. Their compact Dark Spells require keen insight to master, but provide unique tactical advantages."
"TID_POPUP_BOOST_MINI_SPELL_FACTORY","Boost Dark Spells brewing speed by <multiplier>x for <time>?"
"TID_LEAGUE_CHAMPION1","Champion League I"
"TID_LEAGUE_CHAMPION2","Champion League II"
"TID_LEAGUE_CHAMPION3","Champion League III"
"TID_LEAGUE_CHAMPION1_SHORT","Champion I"
"TID_LEAGUE_CHAMPION2_SHORT","Champion II"
"TID_LEAGUE_CHAMPION3_SHORT","Champion III"
"TID_LEAGUE_HERO","Titan"
"TID_LEAGUE_HERO1","Titan League I"
"TID_LEAGUE_HERO2","Titan League II"
"TID_LEAGUE_HERO3","Titan League III"
"TID_LEAGUE_HERO1_SHORT","Titan I"
"TID_LEAGUE_HERO2_SHORT","Titan II"
"TID_LEAGUE_HERO3_SHORT","Titan III"
"TID_LEAGUE_LEGENDARY","Legend League"
"TID_LEAGUE_LEGENDARY_SHORT","Legend"
"TID_HINT_STORAGES_SPELL_IMMUNITY","All resource storages are immune to spell damage!"
"TID_STORAGES_SPELL_IMMUNITY","All resource storages are immune to spell damage!"
"TID_POPUP_ARMY_OVERVIEW","Army Overview"
"TID_SPEEDUP","Haste Spell"
"TID_SPEEDUP_INFO","Put some hustle in even your heaviest units!\n\nHaste Spells lack the damage boost of Rage Spells, but provide an even better boost to movement speed. A lower storage space also allows you to take more of them into battle!"
"TID_HINT_SPELL_SPEEDUP","Haste Spells are great on troops with high damage but low speed, like Balloons or P.E.K.K.A."
"TID_EARTHQUAKE","Earthquake Spell"
"TID_EARTHQUAKE_INFO","Weaken walls and buildings with crippling earthquakes!\n\nEarthquake Spells damage structures based on their maximum hitpoints. Repeated earthquakes deal decreasing damage to the same buildings, but increasing damage to the same Walls. No wall can withstand the might of four Earthquake Spells!"
"TID_HINT_SPELL_EARTHQUAKE1","Earthquake Spells can heavily punish tight groups of buildings with high hitpoints."
"TID_HINT_SPELL_EARTHQUAKE2","Repeated Earthquake Spells deal less damage to the same buildings."
"TID_POISON_CLOUD","Poison Spell"
"TID_POISON_CLOUD_INFO","Give your army the upper hand against enemy troops with this deadly poison!\n\nDefending units that linger in a Poison Spell's toxic cloud will move slower, attack slower and take damage with increasing severity over time. Poison Spells do not effect structures."
"TID_HINT_SPELL_POISON_CLOUD1","Poison Spells are very effective against large groups of enemy skeletons."
"TID_HINT_SPELL_POISON_CLOUD2","Your army will fight much more effectively against Clan Castle troops inside a Poison Spell."
"TID_HINT_CLAN_CHAT_PROFANITY_FILTER","You can activate a profanity filter for clan chat from the Settings menu."
"TID_HINT_DARK_SPELLS","Dark Spells can take less storage space than regular Spells, allowing you to take more of them!"
"TID_SPELL_STORAGE_BREWING_CAPACITY","Brewing capacity: <number>"
"TID_ARMY_OVERVIEW_HINT_SPELLS","Available at Town Hall level <number>"
"TID_ARMY_OVERVIEW_HINT_CLAN_CASTLE","Join a Clan to receive Clan Castle Troops and Spells"
"TID_ARMY_OVERVIEW_HINT_HEROES","Available at Town Hall level <number>"
"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Buildings & Walls"
"TID_INFO_TARGET_TYPE_UNITS","Troops"
"TID_SPELL_DAMAGE_PERCENT","Damage: <number>%"
"TID_LEADERBOARDBANNER_PLAYERTOURNAMENTS","Legend League Tournament"
"TID_LEADERBOARDBANNER_PLAYER_REWARD","Last Tournament's Top Players:\n(tap below to see more)"
"TID_LEADERBOARDBANNER_PLAYER_TIMELEFT","Ends in:"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_TITLE","Legends of the last Tournament:"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_INFO","Players with enough Trophies are reset to the beginning of Legend League after every Tournament. Deducted trophies are permanently awarded as Legend Trophies."
"TID_PRESTIGE_TROPHIES","Legend Trophies"
"TID_LEGEND_SEASON_END_INTRO","Congratulations on your Legendary performance!"
"TID_LEGEND_SEASON_END_INFO","You finished with rank #<rank> globally. Your outstanding performance has been recorded in your player profile for all to see."
"TID_LEGEND_SEASON_END_INFO_WITH_PRESTIGE","You finished with rank #<rank> globally and earned <prestige> Legend Trophies! Your outstanding performance has been recorded in your player profile for all to see."
"TID_LEGEND_SEASON_END_TROPHY_RESET","Your Trophies have been reset to <value> for the start of the new Legend League Tournament."
"TID_LEGEND_SEASON_INFO","Finish a season in Legend League and your final standings will be featured in your Profile!"
"TID_LEGEND_SEASON_INFO_PRESTIGE","All Legends are lowered to <value> Trophies to give a fresh start to every new season. Deducted Trophies will be awarded as Legend Trophies!"
"TID_PROFILE_BEST_TROHPIES","All time best:"
"TID_PROFILE_LEGEND_BEST","Best: <month> <year> Season"
"TID_PROFILE_LEGEND_LAST","Previous: <month> <year> Season"
"TID_PROFILE_LEGEND_RANK","Rank"
"TID_PROFILE_LEGEND_RANK_INLINE","Ranked #<value>"
"TID_BUTTON_EDIT","Edit army"
"TID_MONTH_1","January"
"TID_MONTH_2","February"
"TID_MONTH_3","March"
"TID_MONTH_4","April"
"TID_MONTH_5","May"
"TID_MONTH_6","June"
"TID_MONTH_7","July"
"TID_MONTH_8","August"
"TID_MONTH_9","September"
"TID_MONTH_10","October"
"TID_MONTH_11","November"
"TID_MONTH_12","December"
"TID_SEASON_NAME","<month> <year> Season"
"TID_PROFILE_BEST_WAR_STARS","War Stars Won:"
"TID_PROFILE_LEGEND_NO_LAST_RANK","Did not place"
"TID_PREFERRED_TARGET_EFFECT_BONUS","(Effect x<number>)"
"TID_SETTING_CHANGE_FAILED","Error changing this setting - please try again later."
"TID_SLOW_SPEED","Speed decrease: <number>%"
"TID_REQUIRED_DARK_SPELL_FORGE_LEVEL","Level <number> Dark Spell Factory required"
"TID_LEADERBOARDBANNER_PLAYER_NO_TOP_3","Winners of the Legend League Tournament will be featured here!"
"TID_LEADERBOARDBANNER_PLAYER_NO_HISTORY","No Legend League players placed in the last tournament."
"TID_LEGEND_SEASON_END_TIP","NOTE: Legend League has special end-of-season rules and rewards!"
"TID_LEGEND_SEASON_INFO_PRESTIGE_MORE","Legend Trophies are the ultimate symbol of prestige. They cannot be lost, and accumulate after every season."
"TID_NEWS_DARK_SPELLS_TITLE",
"TID_NEWS_UPDATE_DARK_SPELLS_TEXT",
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TITLE",
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TEXT",
"TID_NEWS_UPDATE_OTHER_TITLE","Game Balancing"
"TID_NEWS_UPDATE_OTHER_TEXT","* Freeze Spells now also affect defending air troops\n* Lava Hounds can no longer target air troops\n* Attacking troops will now engage defending troops from further away\n* Titan III and Titan II Leagues can now buy 1 week shields from the Shop"
"TID_REMOVE_ARMY_CONFIRMATION","Confirm edit?"
"TID_PROFILE_LEGEND","Legend League Tournament"
"TID_PROFILE_LEGEND_PRESTIGE","Legend Trophies"
"TID_SPELL_ALREADY_AT_MAX_LEVEL","Spell is already at maximum level!"
"TID_LEGEND_SEASON_TITLE","<month> <year> Legend League Tournament"
"TID_LEGEND_SEASON_END_PRESTIGE","Legend Trophies earned:"
"TID_LEGEND_SEASON_INFO_TEXT","Legend League has special end-of-season rules and rewards!"
"TID_WAR_STATS_HEADER_TIEBREAKERS","Tiebreakers"
"TID_ALLIANCE_WAR_TOTAL_DESTRUCTION","<friendly> Total Destruction <enemy>"
"TID_ALLIANCE_WAR_TOTAL_DURATION","Total best attack duration"
"TID_BUTTON_GENERATE_CODE","Link code"
"TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","See tutorial!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","Updating to new version"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE","We are updating to a new version of Clash of Clans. Your village will be ready soon. Please check back in a short while!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON","Ok"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TUTORIAL_BUTTON","Load Village"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TITLE","Load Village"
"TID_BUILDING_ARTILLERY","Eagle Artillery"
"TID_ARTILLERY_INFO","The Eagle Artillery has nearly unlimited range and targets tough enemies with exploding shells. However, it won't activate until a large amount of troops have been deployed."
"TID_BUTTON_GENERATE_CODE_TITLE","Transfer Account"
"TID_BUTTON_GENERATE_CODE_TEXT","Transfer your village to another Android App Store. Transferring your village will help safeguard your data!"
"TID_LINK_CODE_GENERATE_CODE_TEXT","Use the link code below to transfer your village to another Android App Store. Check the tutorial for a detailed guide!"
"TID_LINK_DEVICES_ENTER_CODE_KUNLUN_TEXT","You can get a link code from your village by going to Settings - Link a device. Check our tutorial for a detailed guide!"
"TID_MORE_WECHAT","关注官方认证微信订阅号cocsupercell"
"TID_NEWS_ACCOUNT_TRANSFER","Get the official Chinese CoC Android version!"
"TID_NEWS_ACCOUNT_TRANSFER_TEXT","Transfer your village now to a supported Android App Store to safeguard your village, get official player support, updates and more!"
"TID_SLOW_SPEED_AND_ATTACK","Move/attack slow: <number>%"
"TID_WAR_TEAM_TAB_ATTACKS","Attacks"
"TID_WAR_TEAM_TAB_DEFENSES","Defenses"
"TID_SLOW_ATTACK","Attack rate decrease: <number>%"
"TID_MAX_DPS","Max damage per second: <number>"
"TID_NEWS_SPELLS_TITLE","Reworked and Recharged Spells"
"TID_NEWS_SPELLS_TEXT","Lightning Spell\n* Lightning Spell level 7 ravages buildings and troops alike\n* Increased damage for Lightning Spell levels 5 and 6\n* Lightning Spell bolts now strike closer together to miss less often\n\nPoison Spell\n* Troops in Poison Spells now take less damage at first, but much more over time\n* Poison Spell damage now increases to huge amounts and lingers after leaving the spell\n* Poison Spells now also reduce the attack rate of defending Troops\n\nEarthquake Spell\n* Earthquake Spells deal much more damage, regardless of a building's current hitpoints\n* Repeated Earthquake Spells now deal diminishing damage to the same buildings\n* Four Earthquake Spells will still always destroy any level of Wall!"
"TID_MORE_WECHAT_SERVICE","关注官方认证微信服务号coc-kefu"
"TID_ERROR_POP_UP_LOGIN_FAILED_15","Your village progress can be accessed by installing, and launching Clash of Clans from <APP_STORE> Android App Store."
"TID_KUNLUN_APP_STORE_360","360"
"TID_KUNLUN_APP_STORE_ANZHI","Anzhi"
"TID_KUNLUN_APP_STORE_BAIDU","Baidu"
"TID_KUNLUN_APP_STORE_HUAWEI","Huawei"
"TID_KUNLUN_APP_STORE_LANDING_PAGE","Kunlun Landing Page"
"TID_KUNLUN_APP_STORE_LENOVO","Lenovo"
"TID_KUNLUN_APP_STORE_OPPO","Oppo"
"TID_KUNLUN_APP_STORE_UC","UC"
"TID_KUNLUN_APP_STORE_VIVO","Vivo"
"TID_KUNLUN_APP_STORE_WANDOUJIA","Wandoujia"
"TID_KUNLUN_APP_STORE_XIAOMI","Xiaomi"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Donate Troops:"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Donate Spells:"
"TID_ALLIANCE_DONATE_DONATED","Donated Troops and Spells:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Donated Troops:"
"TID_OBSTACLE_HALLOWEEN2015","Halloween Cauldron"
"TID_OBSTACLE_HALLOWEEN2016","Scary Pumpkin"
"TID_AVATAR_MESSAGE_BUTTON_MORE_INFO","More info"
"TID_AVATAR_MESSAGE_BUTTON_SUPPORT","Contact Support"
"TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT","Player Support"
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE","A refund was requested for this account and it has been approved on <refundDate>. The refund will be made to the form of payment used when the order was made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refund. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL","Refunds were requested for this account and they have been approved on <refundDate>. The refunds will be made to the form of payment used when the orders were made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refunds. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능 (자세히보기)"
"TID_INFO_POP_UP_TOS_PP_TITLE","Important Notice"
"TID_INFO_POP_UP_TOS_PP_NOTE","Clash of Clans is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","Clash of Clans is free to play, but you can speed up progress with in-app purchases (to disable this, set up password protection in your Google Play Store app settings). Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","Clash of Clans is free to play, but you can speed up progress with in-app purchases. Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Terms of Service"
"TID_MORE_CLASH_COM","Explore the world of Clash at ClashofClans.com"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Sharing is caring"
"TID_ACHIEVEMENT_SPELL_DONATION","Donate <number> spell storage capacity worth of spells"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Total spell capacity donated: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Anti-Artillery"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Destroy <number> Eagle Artilleries in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Total Eagle Artilleries destroyed: <value>"
"TID_POPUP_BREAK_SHIELD","Remove Shield?"
"TID_POPUP_BREAK_SHIELD_TEXT","Are you sure you want to remove your Shield? You'll get some Guard each time a Shield ends."
"TID_POPUP_BREAK_GUARD","Remove Guard?"
"TID_POPUP_BREAK_GUARD_TEXT","Without a Guard other players will be able to attack you. Are you sure you want to remove your Guard?"
"TID_LOCAL_NOTIFICATION_GUARD_WILL_DISAPPEAR","Chief, our Guard is about to end!"
"TID_GUARD_NOT_AVAILABLE","Guard can't be bought while a Shield is active!"
"TID_GUARD_ON_COOLDOWN","Guard not yet available!"
"TID_ATTACK_FAIL_TARGET_HAS_GUARD","Can't attack! Village has active Guard."
"TID_GROWTH_AURA_PERCENT","HP increase: <number>%"
"TID_GROWTH_AURA_MAX","Max HP increase: <number>"
"TID_BUY_SHIELD_WHILE_GUARDED_TEXT","Are you sure you want to buy <name>?\n<cff0000>NOTE: This will dismiss your active Guard</c>"
"TID_FAQ_TITLE_GUARD","What is the Guard and how does it work?"
"TID_FAQ_TEXT_GUARD","The Guard prevents attacks against you just like the Shield. Unlike Shields, however, you can attack other villages all you want without affecting your Guard. You automatically get some Guard each time a Shield runs out, and the higher your League, the more Guard you get! You can also purchase additional Guard from the shop every day for a very small amount of gems."
"TID_HINT_GUARD_GAIN","You get some Guard each time a Shield runs out. This is a great time to attack!"
"TID_HINT_GUARD_GAIN_TIME","The higher your League, the more Guard you get whenever a Shield runs out!"
"TID_HINT_GUARD_LOSE","You can attack all you want without losing any of your active Guard"
"TID_GRAND_WARDEN","Grand Warden"
"TID_GRAND_WARDEN_INFO","The Grand Warden is a brilliant tactician who has spent years learning to harness powerful artifacts of unknown origin. He toughens troops that attack enemy villages or guard your village."
"TID_HERO_INSTRUCTIONS_WARDEN","This veteran battle-scholar seeks out groups of friendly troops to fight behind and boost with his Life Aura, and assumes the form of a tower on defense. Attacking, he can walk over walls or fly high, and can make nearby troops immune to damage once his Eternal Tome ability is unlocked!"
"TID_HERO_AURA_WARDEN_TITLE","Life Aura"
"TID_HERO_AURA_WARDEN_DESC","The warden's mysterious artifacts constantly radiate a health-boosting Aura that improves with every level. All nearby friendly units, on attack or defense, will gain increased hitpoints, but they will lose the boost if they stray too far away!"
"TID_HERO_ABILITY_WARDEN_TITLE","Eternal Tome"
"TID_HERO_ABILITY_WARDEN_DESC","The warden unleashes the full power of his arcane Tome, making himself and all nearby friendly units completely immune to damage for a short amount of time!"
"TID_HINT_ARTILLERY","A small squad of troops can help prepare an attack before the Eagle Artillery will activate."
"TID_HINT_ARTILLERY2","A quick strike can overwhelm the Eagle Artillery before it does much damage."
"TID_HINT_ARTILLERY3","Eagle Artillery has a large no-fire zone around it. Be sure it covers your most valuable buildings!"
"TID_HINT_HERO_GRAND_WARDEN","The Grand Warden harnesses mysterious artifacts to make nearby troops tough as nails."
"TID_HINT_HERO_GRAND_WARDEN_MODE","Using an flying army? Try setting the Grand Warden to air mode!"
"TID_HINT_ARTILLERY_TARGET","The Eagle Artillery targets the toughest troops of the nearest or biggest group."
"TID_HINT_ARTILLERY_TARGET2","A reticle appears where the Eagle Artillery's shots will land."
"TID_HINT_ARTILLERY_TARGET3","Units near an artillery impact will take some shockwave damage."
"TID_POPUP_SHIELD_REMOVAL_REVENGE","Your Shield will be shortened if you start a Revenge attack. If you have less than the Attack Cost, your Shield will be removed."
"TID_HINT_GUARD","An active Guard protects you from attacks and lets you freely attack others!"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_TITLE","Extended Break"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED","Your personal break time limit was not fully reset because you didn't get a Shield the last time you went on break."
"TID_ERROR_POP_UP_PERSONAL_BREAK_FINAL_TITLE","Extended Break"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_FINAL","Your personal break time limit was extended but will now reset. To avoid this in the future, make sure your Town Hall is protected and try increasing your Trophy count."
"TID_ERROR_POP_UP_PERSONAL_BREAK_MULTIPLE_FINAL","Your personal break time limit has been extended multiple times but will now reset. To avoid this in the future, make sure your Town Hall is protected and try increasing your Trophy count."
"TID_DAMAGE_PER_HIT","Damage per hit: <number>"
"TID_SHOCKWAVE_DAMAGE","Shockwave damage: <number>"
"TID_DIE_DAMAGE","Damage when destroyed: <number>"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TITLE","One of the Biggest Clash Updates - Ever!"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TEXT","• Town Hall 11 is bursting onto the scene! BOOM!\n• Grand Warden & Eagle Artillery: The most powerful and strategic additions ever!\n• New troop levels, defense levels, and Clan Spell donation\n• Attack through Shield at any time, but be sure to protect your Town Hall!\n• Guard your playtime when Shield is down and never get attacked off-guard again\n• Goblins chasing Town Halls, bigger League Bonuses, Trophy offers, and much more!"
"TID_NEWS_TH11_UPDATE_TH11_TITLE","Turn It Up to TH11"
"TID_NEWS_TH11_UPDATE_TH11_TEXT","• Experience the biggest, baddest, most challenging Town Hall level ever: Town Hall 11!\n• New Town Hall 11 hero Grand Warden can make armies nearly unstoppable!\n• New Town Hall 11 defense Eagle Artillery delivers awe-inspiring devastation from afar\n• More defenses, including an extra Cannon, Archer Tower, Wizard Tower and X-Bow!\n• New Town Hall 11 levels for Minion, Witch, Wizard Tower and more!"
"TID_NEWS_TH11_UPDATE_HERO_TITLE","Grand Warden: Your Army´s Newest Hero"
"TID_NEWS_TH11_UPDATE_HERO_TEXT","• Harness powerful new battlefield tactics by boosting and protecting your troops\n• The Grand Warden toughens all nearby troops and can make them temporarily invincible!\n• He jumps, he flies - fit the Grand Warden into any strategy and make your army shine"
"TID_NEWS_TH11_UPDATE_ARTILLERY_TITLE","Eagle Artillery: The Sleeping Sentinel"
"TID_NEWS_TH11_UPDATE_ARTILLERY_TEXT","• This massive, long-range weapon obliterates poorly prepared attacking armies\n• Volleys of explosive shells clobber tough troops and wear down others near the blasts\n• Eagle Artillery only activates after many troops have been deployed, leaving the door open for tactical strikes and cunning multi-phase attacks!"
"TID_NEWS_TH11_UPDATE_SPELLS_TITLE","Do the Spell Shuffle"
"TID_NEWS_TH11_UPDATE_SPELLS_TEXT","• Request reinforcement spells, not just troops, starting from Clan Castle level 4\n• Donated spells receive all existing Clan Perks benefits\n• Freeze Spell is now unlocked at Town Hall 9 and has slightly longer duration on lower levels"
"TID_NEWS_TH11_UPDATE_SHIELDS_TITLE","Shields - Flexible and Fair Defense"
"TID_NEWS_TH11_UPDATE_SHIELDS_TEXT","• Town Hall destruction no longer grants a Shield - bring your Town Hall inside!\n• You can attack while shielded at any time for just a small Shield reduction\n• Get Shield at 30% destruction, more at 60%, but only when a sizable army attacks"
"TID_NEWS_TH11_UPDATE_GUARD_TITLE","Guard - Play Safe From Attackers"
"TID_NEWS_TH11_UPDATE_GUARD_TEXT","• Guard protects you from attacks and lets you attack others all you want\n• Get free Guard when Shields expire and play freely without worry of being attacked\n• Higher Leagues grant more free Guard - Titan I & Legend players get 100% coverage!\n• 2 hours of extra Guard is available in the Shop every day"
"TID_NEWS_TH11_UPDATE_LOOT_TITLE","Richer Raiding: Loot and Trophies"
"TID_NEWS_TH11_UPDATE_LOOT_TEXT","• Town Halls now hold lots of available loot - destroy them in battle for a big payout!\n• League Bonuses are bigger than ever, but scale with your destruction percentage\n• Trophy offers get bigger and Trophy losses lower the higher your League!"
"TID_NEWS_TH11_UPDATE_GAMEPLAY_TITLE","Gameplay Balancing"
"TID_NEWS_TH11_UPDATE_GAMEPLAY_TEXT","• Battle time limit has been increased by 30 seconds\n• Goblins now target the Town Hall and Clan Castle for 2x damage\n• Rearm costs for all traps have been massively reduced\n• Reload costs for X-Bows have been massively reduced\n• Large amounts of Healers now have reduced effectiveness on the same unit\n• Army boosts have been reduced to 5 gems for 1 hour of boost\n• Cost for finding a match and ‘Nexting´ reduced for TH10\n• Clan War Preparation Day has been reduced to 23 hours\n• Troop combat and pathfinding AI has been polished up and tightened\n• Available loot percentage on Town Hall levels 6-10 has been slightly increased\n• Villages one Town Hall level lower are now worth slightly less loot\n• The playing field and troop deployment area have both been expanded (outlying obstacles have been automatically moved)"
"TID_NEWS_TH11_UPDATE_OTHER_TITLE","Other Balancing and Improvements"
