"Name","TroopLevel","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","SpawnOnAttack","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect","VillageType","UnitsInCamp","SpecialAbilityLevel","SpecialAbilityName","SpecialAbilityInfo","SpecialAbilityType","SpecialAbilityAttribute","SpecialAbilityAttribute2","SpecialAbilityAttribute3","SpecialAbilitySpell","SpecialAbilityEffect","SpecialAbilityIcon","DisableDonate","ScaleByTH","EnabledByCalendar","LoseHpPerTick","LoseHpInterval","UpgradeLevelByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget"
"AirDefenceSeeker",1,"TID_AD_SEEKER","TID_CHARACTER_INFO_AD_SEEKER_WITH_EXPLOSION","sc/characters.cs",30,6,1,250,6100,600,"DarkElixir",390,156,,"DarkElixir",60000,30,75,2000,,10,1,,,,"sc/ui.sc","icon_unit_tiny","unit_tiny_big","sc/info_tiny.sc","hound_projectile",,"Air Defense",,,"Tiny Deploy","Tiny Attack",,"Tiny Hit",,"true","FALSE","true",,"Tiny Die",,"ADSeeker_lvl1","Dark Elixir Barrack","false",,100,"DarkTombStone",100,120,,,,"AirDefenceSeekerFragment",,8,500,"true",,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,-700,80,100,,,,,,,,,1000,3000,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,7,,6500,,,450,192,,,70000,,,,,12,,,,,,,,,,,,,,,"Tiny Attack",,,,,,,,,,"ADSeeker_lvl2",,,,,,150,,,,,,,10,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,8,,6800,,,510,276,,,150000,,,,,14,,,,,,,,,,,,,,,"Tiny Attack",,,,,,,,,,"ADSeeker_lvl3",,,,,,200,,,,,,,12,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,9,,7200,,,570,336,,,200000,,,,,16,,,,,,,,,,,,,,,"Tiny Attack",,,,,,,,,,"ADSeeker_lvl5",,,,,,250,,,,,,,14,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,10,,7600,,,630,,,,,,,,,18,,,,,,,,,,,,,,,"Tiny Attack",,,,,,,,,,"ADSeeker_lvl6",,,,,,300,,,,,,,16,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AirDefenceSeekerFragment",1,"TID_AD_SEEKER_FRAG","TID_CHARACTER_INFO_AD_SEEKER_FRAG","sc/characters.cs",2,1,1,400,50,,"DarkElixir",,,,"DarkElixir",,1,275,1000,,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_tinymites_big","sc/info_tiny.sc","tinyhound_projectile",,,,,,"Tinymite Attack",,"Tinymite Hit",,"true","true","true",,"Tinymite Die",,"TinyBaby_lvl1",,"false",,100,"DarkTombStone",,,,,"true",,"true",,,,"true",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-700,80,,,,,,,,,,200,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrapSkeletonGround",1,"TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",1,1,1,300,30,,"DarkElixir",,,,"DarkElixir",,1,40,700,,25,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_skeletonwarrior_big","sc/info_witch.sc",,,,,,"Skeleton Deploy","Skeleton Attack",,"Skeleton Hit",,"false","false","true",,"Skeleton Die",,"Skeleton",,"false",,0,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,-50,,"trap_skeleton_icon",,,,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GargoyleTrap",1,"TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,300,30,45,"DarkElixir",6,120,,"DarkElixir",10000,1,40,700,,25,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,,,"Gargoyle Deploy","Gargoyle Attack",,"Gargoyle Hit",,"true","true","false",,"Gargoyle Die",,"Gargoyle_lvl1","Dark Elixir Barrack","false",,100,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400,60,,,,,,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrapSkeletonAir",1,"TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",2,1,1,220,30,45,"DarkElixir",6,120,,"DarkElixir",10000,1,40,700,,25,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_witch.sc",,,,,,,"Skeleton Attack",,"Skeleton Hit",,"true","true","false",,"Skeleton Die",,"Airskeleton","Dark Elixir Barrack","false",,100,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,-400,60,,"trap_skeleton_icon",,,,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bowler",1,"TID_BOWLER","TID_CHARACTER_INFO_BOWLER","sc/characters.cs",6,7,1,175,290,120,"DarkElixir",130,204,,"DarkElixir",120000,8,300,2200,,60,1,30,,,"sc/ui.sc","icon_unit_troll","unit_troll_big","sc/info_troll.sc","trollBoulder_lvl1",,,,,"Troll Deploy",,,"trollBoulderHit","trollBoulderHit_dust_lvl1","false","false","true",,"Wizard Die",,"Troll_lvl1","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,1100,"true",400,,,,,,"trollAttack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,8,,310,,,150,336,,,200000,,,,,70,,,,,,,,,"trollBoulder_lvl1",,,,,,,,,"trollBoulderHit_dust_lvl1",,,,,,,"Troll_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,9,,350,,,170,336,,,,,,,,80,,,,,,,,,"trollBoulder_lvl2",,,,,,,,,"trollBoulderHit_dust_lvl2",,,,,,,"Troll_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,10,,390,,,190,,,,,,,,,90,,,,,,,,,"trollBoulder_lvl3",,,,,,,,,"trollBoulderHit_dust_lvl2",,,,,,,"Troll_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BabyDragon",1,"TID_BABY_DRAGON","TID_BABY_DRAGON_INFO","sc/characters.cs",10,11,1,250,1200,360,"Elixir",15000,132,,"Elixir",5000000,10,275,1000,,75,,30,,,"sc/ui.sc","icon_unit_babydragon","unit_babydragon_big","sc/info_babydragon.sc","babydragon_projectile",,,,,"Bdragon Deploy","Bdragon Attack",,"Bdragon Hit",,"true","true","true",,"Bdragon Die",,"BabyDragon_lvl1","Barrack","false",,30,"TombStone",,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,"true",,,,,,,,,,,"true",450,100,50,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,7,,1300,,,16000,156,,,6000000,,,,,85,,,,,,,,,"babydragon_projectile",,,,,,,,,,,,,,,,"BabyDragon_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,8,,1400,,,17000,192,,,7000000,,,,,95,,,,,,,,,"babydragon_projectile_lvl2",,,,,,,,,,,,,,,,"BabyDragon_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,8,,1500,,,18000,276,,,8000000,,,,,105,,,,,,,,,"babydragon_projectile_lvl2",,,,,,,,,,,,,,,,"BabyDragon_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,9,,1600,,,19000,336,,,9000000,,,,,115,,,,,,,,,"babydragon_projectile_lvl3",,,,,,,,,,,,,,,,"BabyDragon_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,10,,1700,,,20000,,,,,,,,,125,,,,,,,,,"babydragon_projectile_lvl3",,,,,,,,,,,,,,,,"BabyDragon_lvl6",,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miner",1,"TID_MINER","TID_MINER_INFO","sc/characters.cs",6,12,1,400,550,120,"Elixir",4200,132,,"Elixir",6000000,5,60,1700,,80,,,,,"sc/ui.sc","icon_unit_miner","unit_miner_big","sc/info_miner.sc",,,,,,"Miner Deploy","Miner Attack",,"Miner Hit",,"false","false","true",,"Miner Die",,"Miner_lvl1","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,600,500,,"true",,,,,,,,,"Miner Move","Miner Appear",,,,,"Miner Hide",,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,8,,610,,,4800,156,,,7000000,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,8,,670,,,5200,192,,,8000000,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,9,,730,,,5600,276,,,9500000,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,9,,800,,,6000,336,,,11000000,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,10,,870,,,6400,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miner_DEF",1,"TID_MINER","TID_MINER_INFO","sc/characters.cs",6,99,1,250,550,120,"Elixir",4200,192,,"Elixir",6000000,5,60,1700,,80,,,,,"sc/ui.sc","icon_unit_miner","unit_miner_big","sc/info_miner.sc",,,,,,"Miner Deploy","Miner Attack",,"Miner Hit",,"false","false","true",,"Miner Die",,"Miner_lvl1","Barrack","false",,0,"TombStone",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,500,,"true",,,,,,,,,"Miner Move","Miner Appear",,,,,"Miner Hide",,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,8,,610,,,4800,240,,,7000000,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,8,,670,,,5200,288,,,8000000,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,9,,730,,,5600,336,,,9500000,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,9,,800,,,6000,336,,,11000000,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,10,,870,,,6400,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,"Miner_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prototype_4",1,,,"sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,,"DarkElixir",80000,1,1,1000,,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,,,"Golem Deploy",,,,,"true","true","true",,,,"Prototype_Ghost","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prototype_5",1,,,"sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,,"DarkElixir",80000,1,1,1000,,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,,,"Golem Deploy",,,,,"true","true","true",,,,"Prototype_Ghost","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prototype_6",1,,,"sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,,"DarkElixir",80000,1,1,1000,,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,,,"Golem Deploy",,,,,"true","true","true",,,,"Prototype_Ghost","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prototype_7",1,,,"sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,,"DarkElixir",80000,1,1,1000,,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,,,"Golem Deploy",,,,,"true","true","true",,,,"Prototype_Ghost","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice Wizard_xmas",1,"TID_WIZARD2","TID_CHARACTER_INFO_WIZARD2","sc/characters.cs",4,7,99,200,200,120,"Elixir",1500,24,,"Elixir",99999999,5,300,1500,,200,1,30,,,"sc/ui.sc","icon_unit_iceWizard","unit_icewizard_big","sc/info_icewizard.sc","ice_wizard_projectile",,,"Defense",,"IceWizard Deploy","IceWizard_attack",,"IceWizard Hit1",,"false","true","true",,"Ice Wizard Die",,"Ice Wizard1","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,200,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","true","true",,,,,,,,,
"Barbarian2",1,"TID_RAGED_BARBARIAN","TID_CHARACTER_INFO_RAGED_BARBARIAN","sc/characters.cs",1,1,1,200,150,60,"Elixir2",,0,,"Elixir2",3500,1,40,800,,50,1,,,,"sc/ui.sc","icon_unit_raged_barbarian","unit_raged_barbarian_big","sc/info_raged_barbarian.sc",,,,,,"Barbarian2 Deploy","Barbarian2 Attack",,"Barbarian2 Hit",,"false","false","true",,"Barbarian2 Die",,"Barbarian_new1","Barrack2","false",,0,"TombStone_village2",,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,,,,,,,,,,,,,,,1,4,,"TID_BARB2_ABILITY_NAME","TID_BARB2_ABILITY_HELP","StartRage",4,,,"TroopRage",,,,,,,,,,,,,,
,2,,,,,,1,,150,,,,0,5,,6000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new1",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,4,,,,,,,,,,,,,,,,,
,3,,,,,,2,,165,,,,0,15,,9000,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new1",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,4,,,,,,,,,,,,,,,,,
,4,,,,,,2,,165,,,,3,0,,50000,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new1",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,4,,,,,,,,,,,,,,,,,
,5,,,,,,3,,182,,,,6,0,,100000,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new2",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,4,,,,,,,,,,,,,,,,,
,6,,,,,,3,,182,,,,24,0,,300000,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new2",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,4,,,,,,,,,,,,,,,,,
,7,,,,,,4,,200,,,,24,0,,330000,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new2",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,4,,,,,,,,,,,,,,,,,
,8,,,,,,4,,200,,,,48,0,,700000,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new2",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,8,,,,,,,,,,,,,,,,,
,9,,,,,,5,,220,,,,48,0,,900000,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new3",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,8,,,,,,,,,,,,,,,,,
,10,,,,,,5,,220,,,,72,0,,1000000,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new3",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,8,,,,,,,,,,,,,,,,,
,11,,,,,,6,,242,,,,72,0,,1200000,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new3",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,8,,,,,,,,,,,,,,,,,
,12,,,,,,6,,242,,,,96,0,,2000000,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new3",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,12,,,,,,,,,,,,,,,,,
,13,,,,,,7,,266,,,,96,0,,2200000,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new4",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,12,,,,,,,,,,,,,,,,,
,14,,,,,,7,,266,,,,120,0,,3000000,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new4",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,12,,,,,,,,,,,,,,,,,
,15,,,,,,8,,293,,,,120,0,,3200000,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new4",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,12,,,,,,,,,,,,,,,,,
,16,,,,,,8,,293,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian_new4",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,,,,16,,,,,,,,,,,,,,,,,
"Archer2",1,"TID_SNEAKY_ARCHER","TID_CHARACTER_INFO_SNEAKY_ARCHER","sc/characters.cs",1,2,1,300,100,60,"Elixir2",,0,3,"Elixir2",5000,1,350,1000,,36,1,,,,"sc/ui.sc","icon_unit_stealthy_archer","unit_sneaky_archer_big","sc/info_sneaky_archer.sc","Arrow_small",,,,,"Archer2 Deploy","Archer2 Attack",,"Archer2 Hit",,"false","true","true",,"Archer2 Die",,"Archer_new_lvl1","Barrack2","false",,0,"TombStone_village2",,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,,,,,,,,,,,,,,,1,4,,"TID_ARCHER2_ABILITY_NAME","TID_ARCHER2_ABILITY_HELP","StartCloak",,,,,,,,,,,,,,,,,,
,2,,,,,,1,,100,,,,0,10,,8000,,,,,36,,,,,,,,,"Arrow_small",,,,,,,,,,,,,,,,"Archer_new_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,3,,,,,,,,,,,,,,,,,
,3,,,,,,2,,110,,,,0,30,,12000,,,,,40,,,,,,,,,"Arrow_small",,,,,,,,,,,,,,,,"Archer_new_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,3,,,,,,,,,,,,,,,,,
,4,,,,,,2,,110,,,,4,0,,60000,,,,,40,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,"Archer_new_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,3,,,,,,,,,,,,,,,,,
,5,,,,,,3,,121,,,,6,0,,120000,,,,,44,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,"Archer_new_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,3,,,,,,,,,,,,,,,,,
