"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU"
"TID_HINT LEAGUE_PROMOTION","Earn more trophies to move up to a higher League level. Higher level Leagues give better Loot Bonuses!","Gagnez d'autres trophées pour accéder à une ligue plus élevée et obtenir de plus gros bonus de butin !","Verdiene mehr Trophäen, um eine höhere Ligastufe zu erreichen. Höhere Ligastufen ergeben bessere Beuteboni!","Gana más trofeos para acceder a las ligas superiores, ¡en ellas los botines de bonus son mayores!","Guadagna più trofei per accedere a una lega di livello più alto. Le leghe di livello superiore ti regalano bottini bonus migliori!","Verzamel meer trofeeën om naar een divisie van een hoger level te promoveren. Divisies van een hoger level leveren betere buitbonussen op!","Vinn flere trofeer, og rykk opp til en høyere liga. I ligaer på høyere nivåer får du bedre bonuser!","Ganhe mais troféus e suba para outra Liga. Ligas com níveis mais altos concedem melhores Bônus da Liga!","Daha yüksek bir Lige yükselmek için daha fazla kupa kazan. Daha yüksek seviyeler, daha iyi Bonus Ganimet verir!","トロフィーを増やすことで上位のリーグに昇格できます。\n高レベルのリーグほど戦利品へのボーナスが大きくなります！","获得更多奖杯，攀升至更高联赛等级。联赛等级越高，获得的额外奖金越丰厚！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans","트로피를 더 모아서 상위 단계의 리그에 진입하세요. 리그 단계가 높을수록 약탈 보너스도 증가합니다!","Получите больше трофеев, чтобы подняться на новый уровень Лиги. Высшие уровни Лиги дают лучшую добычу!"
"TID_HINT LEAGUE_DEMOTION","If you lose too many trophies, you can get demoted to a lower League. Fight for those trophies!","Si vous perdez trop de trophées, vous risquez la relégation. Battez-vous pour rester dans votre ligue !","Wenn du zu viele Trophäen verlierst, kannst du in eine niedrigere Liga herabgestuft werden. Kämpfe für die Trophäen!","Si pierdes demasiados trofeos, podrían degradarte a una liga inferior, ¡así que defiéndelos bien!","Se perdi troppi trofei, puoi essere retrocesso a una lega di livello inferiore. Lotta per i tuoi trofei!","Als je te veel trofeeën verliest, kun je naar een lagere divisie worden gedegradeerd. Vecht voor die trofeeën!","Hvis du mister for mange trofeer, kan du rykke ned til en lavere liga. Kjemp for trofeene dine!","Se perder muitos troféus, você poderá ser rebaixado de Liga. Defenda seus troféus!","Çok fazla kupa kaybedersen rütben daha düşük bir Lige düşürülür. O kupalar için savaş!","トロフィーが減りすぎると下位のリーグに降格されることがあります。\n頑張ってトロフィー数を維持しましょう！","倘若丢失太多奖杯，会掉落至低级别的联赛。为奖杯而战！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans","너무 많은 트로피를 잃으면 하위 단계로 강등될 수도 있습니다. 트로피를 위해 싸우세요!","Если вы потеряете слишком много трофеев, вас могут понизить до более низкой Лиги. Сражайтесь за трофеи!"
"TID_HINT LEAGUE_SHUFFLING","Each League Season lasts for two weeks.","Chaque saison de ligue dure deux semaines.","Jede Ligasaison dauert zwei Wochen.","Cada temporada de liga dura dos semanas.","Ogni stagione della lega dura due settimane.","Elk divisieseizoen duurt twee weken.","Hver ligasesong varer i to uker.","Cada Temporada da Liga dura duas semanas.","Her Lig sezonu iki hafta sürer.","リーグは1シーズン2週間となっています。","每个联赛历时两周。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans","각 리그 시즌은 2주 동안 지속됩니다.","Сезон в каждой Лиге длится две недели."
"TID_HINT TOURNAMENT","Clan tournament and troop donation counts reset every two weeks.","Les compteurs des tournois de clan et dons de troupes sont remis à zéro toutes les 2 semaines.","Clanturniere und Truppenspenden-Zähler werden alle zwei Wochen zurückgesetzt.","Cada dos semanas reiniciamos el torneo de clanes y el contador de donaciones.","I punteggi del torneo del clan e della donazione di truppe sono azzerati ogni due settimane.","De teller voor clantoernooien en troependonaties wordt elke twee weken opnieuw ingesteld.","Klanturneringer og soldatdonasjoner nullstilles etter to uker.","O torneio de clãs e a doação de tropas são reiniciados quinzenalmente.","Klan turnuvaları ve birlik bağışları sayısı her iki haftada bir sıfırlanır.","クラントーナメントおよび寄付したユニット数のカウンターは\n2週間ごとにリセットされます。","部落锦标赛和捐兵数量每两周更新一次。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans","클랜 토너먼트와 유닛 지원 기록은 2주 마다 초기화됩니다.","Счет Турнира Кланов и пожертвования войск сбрасываются каждые две недели."
"TID_LEAGUE_INFO_LOOT_BONUS3","Being in a League gives you a Loot Bonus for every victory!","Chaque victoire en ligue rapporte un bonus de butin !","In einer Liga erhältst du für jeden Sieg einen Beutebonus!","Al pertenecer a una liga, ganarás un botín de bonus con cada victoria.","Partecipare a una lega ti permette di ottenere un bottino bonus per ogni vittoria!","Als je in een divisie zit, krijg je een buitbonus voor elke overwinning!","Når du er med i en liga, får du en bonus hver gang du vinner en kamp!","Participar de uma Liga garante um Bônus por cada vitória!","Bir Ligde bulunmak, her zaferinde sana bir Bonus Ganimet kazandırır.","リーグに入っていれば対戦で勝利するたびに戦利品にボーナスがつきます！","进入联赛意味着每次胜利都能获取额外的战利品！","리그에 진입하면 승리할 때마다 약탈 보너스를 드립니다!","Нахождение в Лиге дает вам Бонус Добычи за каждую победу!"
"TID_LEAGUE_INFO_PLACEMENT_HEADLINE","Attack any player village to enter a League","Attaquez un village de joueur pour entrer dans une ligue.","Greife ein beliebiges Spielerdorf an, um in eine Liga zu gelangen","Ataca cualquier aldea para unirte a una liga.","Attacca il villaggio di un qualsiasi giocatore per accedere a una lega","Val een dorp van een speler aan om tot een divisie toe te treden.","Angrip landsbyen til en annen spiller for å bli med i en liga","Ataque qualquer vila para entrar em uma Liga","Bir Lige girebilmek için herhangi bir oyuncunun kasabasına saldır","他のプレイヤーの村を攻撃すればリーグに入れます。","进攻任何村庄以获得进入联赛的资格","아무 사용자의 마을을 공격해서 리그에 진입하세요.","Нападай на любую чужую деревню для того, чтобы войти в Лигу."
"TID_LEAGUE_INFO_PLACEMENT","Your trophy count after the match determines your League level","Votre nombre de trophées après le match détermine votre niveau de ligue.","Die Anzahl deiner Trophäen nach einem Kampf bestimmt deine Ligastufe.","Tu nivel de liga depende de cuántos trofeos ganes en una partida.","Il conteggio dei tuoi trofei dopo la partita determina il tuo livello di lega","De hoeveelheid trofeeën na afloop van de strijd bepaalt je divisielevel.","Liganivået er basert på hvor mange trofeer du har etter kampen","A contagem de troféus após a partida determina o nível da Liga","Karşılaşma Lig seviyeni belirledikten sonra, kupan sayılır","対戦後のトロフィー数で入るリーグのレベルが決まります。","进攻结束后，您拥有的奖杯的数量将决定您进入的联赛的级别","대결 후 트로피 개수로 리그 단계가 결정됩니다.","Число трофеев после боя определяет ваше положение в Лиге."
"TID_HINT_LEAGUE_SHUFFLING2","Each League Season lasts for two weeks","Chaque saison de ligue dure deux semaines.","Jede Ligasaison dauert zwei Wochen.","Cada temporada de liga dura dos semanas.","Ogni stagione della lega dura due settimane.","Elk divisieseizoen duurt twee weken","Hver ligasesong varer i to uker","Cada Temporada da Liga dura duas semanas","Her Lig Sezonu iki hafta sürer","リーグは1シーズン2週間となっています。","每届联赛的周期为两周。","각 리그 시즌은 2주 동안 지속됩니다.","Каждый сезон в Лиге длится две недели"
"TID_BATTLE_LOG_OFFENSE","Attack Log","Journal d'attaque","Angriffslog","Registro\nde ataque","Registro attacchi","Aanvalslog","Angrepslogg","Registro de Ataques","Saldırı Günlüğü","攻撃ログ","进攻日志","공격 기록","Ход Атаки"
"TID_BATTLE_LOG_DEFENSE","Defense Log","Journal de défense","Verteidigungslog","Registro de defensa","Registro difese","Verdedigingslog","Forsvarslogg","Registro de Defesas","Savunma Günlüğü","防衛ログ","防守日志","방어 기록","Ход Обороны"
"TID_XP_TITLE_PUZZLEANDDRAGONS","Big in Japan!","Star au Japon !","Beliebt in Japan!","¡Éxito en Japón!","Un successo in Giappone!","Beroemd in Japan!","Stort i Japan!","Sucesso no Japão!","Japonya fatihi!","日本で大ヒット中！","在日本也流行！","일본에서 대 히트!","Любимая игра в Японии!"
"TID_XP_TEXT_PUZZLEANDDRAGONS","Japan's most popular game finally arrived in the UK. Download for free from the App Store!","Le jeu le plus populaire au Japon arrive enfin en Europe. Téléchargez-le gratuitement dans l'App Store !","Japans beliebtestes Spiel jetzt endlich in Deutschland verfügbar! Kostenloser Download aus dem App Store!","¡El juego más popular en Japón por fin disponible en Europa! Descárgatelo gratis en el App Store.","Il gioco più famoso del Giappone arriva finalmente in Europa. Scaricalo gratis dall'App Store!","Het populairste spel van Japan komt eindelijk naar Nederland. Download het nu gratis in de App Store!","Det mest populære spillet i Japan er endelig tilgjengelig i Norge. Last ned spillet gratis fra App Store!","O jogo mais popular do Japão finalmente chegou ao Brasil. Baixe gratuitamente na App Store!","Japonya'nın en popüler oyunu nihayet İngiltere'de. App Store'dan ücretsiz indirebilirsin.","日本で大ブームを巻き起こしているあのゲームがついに英国に上陸！App Storeから無料でダウンロードしよう！","日本最潮的游戏终于抵达英国。从App Store上免费下载！","마침내 일본에서 가장 인기있는 게임이 도착했습니다. App Store에서 무료로 다운로드 받으세요.","Самая популярная игра Японии наконец добралась до Соединенного Королевства. Скачайте бесплатно в App Store!"
"TID_XP_BUTTON_PUZZLEANDDRAGONS","Free","Gratuit","Kostenlos","Gratis","Gratis","Gratis","Gratis","Grátis","Ücretsiz","Free","免费","무료","Бесплатно"
"TID_ALLIANCE_MAIL_NOTIFICATION","You have a new clan mail!","Nouveau message de clan !","Du hast eine neue Clannachricht!","¡Tienes un mensaje de clan!","Hai ricevuto un nuovo messaggio del clan!","Er is een nieuw bericht van je clan!","Du har fått en ny klanmelding!","Você tem uma nova mensagem do clã!","Yeni bir klan postan var!","新しいクランメールが届きました！","您有一封新的部落邮件！","새로운 클랜 편지가 있습니다!","Новое письмо клану!"
"TID_REQUESTED_FROM_CLAN","Troops received:","Troupes reçues :","Truppen erhalten:","Tropas recibidas:","Truppe ricevute:","Troepen ontvangen:","Soldater mottatt:","Tropas recebidas:","Alınan birlikler:","もらったユニット","近期收兵：","지원받은 유닛:","Получено Воинов:"
"TID_XP_TITLE_UNLOCK_PUZZLEANDDRAGONS","Well done Chief!","Bien joué, chef !","Gut gemacht, Häuptling!","¡Así se hace, jefe!","Ottimo lavoro, capo!","Goed gedaan!","Bra jobbet, høvding!","Muito bem, Chefe!","İyi işti Şef!","やりましたね、チーフ！","首领，干得漂亮！","잘하셨어요, 대장!","Отлично, Вождь!"
"TID_XP_TEXT_UNLOCK_PUZZLEANDDRAGONS","You can now unlock the Clash of Clans Dungeon in Puzzle & Dragons! Press the button below to open the game and unlock it.","Vous pouvez maintenant débloquer le donjon Clash of Clans dans Puzzle & Dragons ! Appuyez sur le bouton ci-dessous pour ouvrir le jeu et le débloquer.","Du kannst jetzt den Clash of Clans-Dungeon bei Puzzle & Dragons freischalten! Drücke auf die Taste unten, um das Spiel zu öffnen und ihn freizuschalten.","¡Ahora puedes desbloquear la mazmorra Clash of Clans en Puzzle & Dragons! Pulsa el botón de abajo para abrir el juego y desbloquearla.","In Puzzle & Dragons puoi sbloccare il dungeon di Clash of Clans! Premi il pulsante qui sotto per accedere al gioco e sbloccarlo.","Je kunt nu de Clash of Clans Dungeon in Puzzle & Dragons ontgrendelen! Druk op de onderstaande knop om het spel te openen en te ontgrendelen.","Du kan nå låse opp Clash of Clans-dungeonen i Puzzle & Dragons! Trykk på knappen nedenfor for å åpne spillet og låse den opp.","Você pode desbloquear a Masmorra Clash of Clans no Puzzle & Dragons! Pressione o botão abaixo para abrir o jogo e desbloquear.","Artık Clash of Clans Zindan kilidini Puzzle & Dragons'ta açabilirsin! Oyunu ve kilidini açmak için aşağıdaki düğmeye bas.","「パズル＆ドラゴンズ」内で「クラッシュ・オブ・クラン」ダンジョンがアンロック可能になりました！　下のボタンでゲームを起動してアンロックしましょう。","如果您也在玩Puzzle & Dragons，您可以点击下方按钮解锁Puzzle & Dragons中的Clash of Clans Dungeon。","이제 Puzzle & Dragons에서 클래시 오브 클랜 던전을 탐험할 수 있습니다! 하단의 단추를 눌러서 게임을 실행하세요!","Теперь вы можете открыть Clash of Clans Dungeon в Puzzle & Dragons! Коснитесь кнопки внизу, чтобы открыть и разблокировать игру."
"TID_XP_BUTTON_UNLOCK_PUZZLEANDDRAGONS","Unlock","Débloquer","Freischalten","Desbloquear","Sblocca","Ontgrendel","Lås opp","Desbloquear","Kilidi aç","アンロック","解锁","잠금 해제","Открыть"
"TID_NEWS_UPDATE_INFO_TITLE","Battle Battle Battle!","Pas de quartier !","Auf in den Kampf!","¡A la batalla!","Battaglia, battaglia, battaglia!","Vecht, vecht, vecht!","Kamp, kamp, kamp!","Batalha e mais batalha!","Savaş Savaş Savaş!","対戦・戦闘・バトル！","战斗到底!","전투, 전투, 전투!","Бой! Бой! Бой!"
"TID_NEWS_UPDATE_INFO_TEXT","New Upgrades:\n* P.E.K.K.A level 5\n* Jump Spell level 3\n* Hidden Tesla level 8\n* Bomb level 6\n\nEpic Battle Rebalancing:\n* Heroes have readjusted strengths, smarter defending, and stronger abilities - read more below!\n* Jump Spell overhaul makes Jump amazingly effective - read more below!\n* Valkyries are moving like no troop ever has before - read more below!\n* Inferno Tower multi-mode now slower burning big hordes of attackers\n* Troops now work together to break through similar wall pieces\n\nInterface Improvements:\n* Tap ongoing Clan War attacks to watch the battle as it happens!\n* Re-arm traps and reload defenses easily by tapping your Town Hall\n* Clan mail messages can now be twice as long\n* Copy your current village layout to your Clan War base with one button","Nouvelles améliorations :\n* P.E.K.K.A niveau 5\n* Sort de saut niveau 3\n* Tesla camouflée niveau 8\n* Bombe niveau 6\n\nRééquilibrage des batailles épiques :\n* Les héros ont des forces réajustées, des défenses affinées et des capacités renforcées - plus d'infos ci-après !\n* Révision du sort de saut pour une efficacité incroyable - plus d'infos ci-après !\n* Optimisation du déplacement des valkyries - plus d'infos ci-après !\n* Les tours de l'enfer en mode multi-cibles brûlent plus lentement d'énormes hordes d'attaquants.\n* Coopération des troupes pour démolir des portions similaires de rempart.\n\nAméliorations des interfaces :\n* Touchez une attaque en cours pendant une guerre des clans pour y assister en direct !\n* Réarmez vos pièges et rechargez vos défenses en toute simplicité via votre Hôtel de ville.\n* Les messages des guerres de clans peuvent être deux fois plus longs.\n* Copiez le plan actuel de votre village sur votre base de guerre de clans à l'aide d'un simple bouton.","Neue Verbesserungen:\n* P.E.K.K.A. (Level 5)\n* Sprungzauber (Level 3)\n* Verborgener Tesla (Level 8)\n* Bombe (Level 6)\n\nNeu ausbalancierte Kämpfe:\n* Helden mit neu angepasster Stärke, klügerer Verteidigung und stärkeren Fähigkeiten - unten erfährst du mehr!\n* Sprungzauber jetzt unglaublich effektiv - unten erfährst du mehr!\n* Walküren bewegen sich wie keine andere Truppe - unten erfährst du mehr!\n* Infernoturm im Multimodus braucht jetzt länger, um große Angreiferhorden zu verbrennen.\n* Truppen arbeiten bei ähnlichen Mauerabschnitten zusammen an einem Durchbruch.\n\nVerbesserungen der Benutzeroberfläche:\n* Tippe auf laufende Angriffe im Clankrieg, um dir die Schlacht live anzuschauen!\n* Reaktiviere Fallen und lade Verteidigungsbauten nach, indem du auf dein Rathaus tippst!\n* Clan-Nachrichten dürfen jetzt doppelt so lang sein!\n* Übertrage dein Dorflayout auf deine Kriegsbasis mit nur einer Geste!","Nuevas mejoras:\n* P.E.K.K.A de nivel 5.\n* Hechizos de salto de nivel 3.\n* Torres Tesla de nivel 8.\n* Bombas de nivel 6.\n\nMayor equilibrio en las batallas:\n* Héroes con fuerza reajustada, capacidad defensiva mejorada y habilidades potenciadas (encontrarás más información debajo).\n* Modificaciones en los hechizos de salto que los hacen sorprendentemente efectivos (encontrarás más información debajo).\n* Movimiento de valquirias sin precedentes en otras tropas (encontrarás más información debajo).\n* Disparos ralentizados en las torres infernales para acabar con hordas enemigas más grandes.\n* Colaboración entre tropas para abrirse paso a través de muros similares.\n\nMejoras en la interfaz:\n* Toca los ataques que estén teniendo lugar en una guerra de clanes para ver el enfrentamiento en directo.\n* Rearma trampas y recarga defensas con solo tocar tu ayuntamiento.\n* Ahora puedes escribir mensajes el doble de largos para los miembros de tu clan.\n* Copia la distribución actual de tu aldea en tu base de guerra con solo tocar un botón.","Nuovi miglioramenti:\n* P.E.K.K.A livello 5\n* Incantesimo Salto livello 3\n* Tesla occulta livello 8\n* Bomba livello 6\n\nNuovo, epico bilanciamento delle battaglie:\n* Gli eroi hanno valori di forza riequilibrati, una difesa più astuta e abilità più potenti - ulteriori dettagli di seguito!\n* Il miglioramento dell'incantesimo Salto lo rende molto più efficace - ulteriori dettagli di seguito!\n* Le Valchirie si muovono come nessun'altra truppa - ulteriori dettagli di seguito!\n* La multi-modalità rallentata della torre infernale distrugge orde di nemici\n* Ora le truppe collaborano per creare una breccia nelle mura\n\nMigliorie all´interfaccia:\n* Tocca gli attacchi in corso di una Guerra tra clan per assistere alla battaglia in tempo reale!\n* Riattiva le trappole e ricarica le difese in modo più semplice toccando il Municipio\n* Raddoppiata la lunghezza massima dei messaggi tra membri di un clan\n* Copia la disposizione attuale del tuo villaggio nella base della Guerra tra clan semplicemente premendo un pulsante","Nieuwe upgrades:\n* Level 5 P.E.K.K.A.\n* Level 3 sprongspreuk\n* Level 8 verborgen Tesla\n* Level 6 bom\n\nBalansverbeteringen voor epische gevechten:\n* De krachten van helden zijn aangepast, ze verdedigen slimmer en ze bezitten sterkere vaardigheden; zie de info hieronder!\n* De sprongspreuk is herzien en is nu verbazingwekkend effectief; zie de info hieronder!\n* Valkyries bewegen op een unieke manier; zie de info hieronder!\n* De infernotoren brandt langzamer en vernietigt grote horden aanvallers\n* Troepen werken samen om door gelijksoortige muurdelen heen te breken\n\nInterfaceverbeteringen:\n* Tik op clanoorlogaanvallen die aan de gang zijn om het gevecht live te bekijken!\n* Herlaad vallen en verdedigingswerken snel door op je stadhuis te tikken\n* Clanmailberichten kunnen nu twee keer zo lang zijn\n* Kopieer je huidige dorpsindeling met één tik op de knop naar je clanoorlogsbasis","Nye oppgraderinger:\n* P.E.K.K.A på nivå 5\n* Hoppeformel på nivå 3\n* Skjult tesla på nivå 8\n* Bombe på nivå 6\n\nBedre balanse i episke kamper:\n* Heltenes styrke er justert, de forsvarer seg smartere og de har fått sterkere ferdigheter - les mer under!\n* Justeringen av hoppeformelen gjør hopp utrolig effektive - les mer under!\n* Valkyrier beveger seg nå på en helt unik måte - les mer under!\n* Det går tregere for infernotårn i flermodus å brenne store bølger med angripere\n* Tropper samarbeider nå om å bryte seg gjennom like murdeler\n\nForbedringer av grensesnitt:\n* Trykk på pågående klankrigkamper for å se kampen live!\n* Trykk på rådhuset for enkelt å armere feller og lade forsvarsenheter\n* Klanmeldinger kan nå være dobbelt så lange\n* Kopier den gjeldende landsbyens layout til klankrigbasen med bare én knapp","Novas melhorias:\n* P.E.K.K.A nível 5\n* Feitiço de Salto nível 3\n* Tesla Oculta nível 8\n* Bomba nível 6\n\nReequilíbrio de batalha épico:\n* Os Heróis agora têm força reajustada, defesa é mais inteligente e habilidades mais fortes - leia mais abaixo!\n* Uma melhoria no Feitiço de Salto tornou-o incrivelmente eficaz - leia mais abaixo!\n* As Valquírias estão se movendo como nunca se viu antes - leia mais abaixo!\n* O modo múltiplo da torre Inferno agora incinera lentamente grandes hordas de atacantes\n* As tropas agora trabalham em conjunto para atravessar paredes similares\n\nMelhorias de interface:\n* Toque nos ataques de guerras de clãs em andamento para assistir à batalha enquanto ela acontece!\n* Rearme armadilhas e recarregue defesas facilmente tocando na sua Prefeitura\n* As mensagens de clã agora podem ser duas vezes mais longas\n* Copie o layout da sua vila atual para sua base de guerra de clãs com um botão","Yeni Yükseltmeler:\n* 5. seviye P.E.K.K.A\n* 3. Seviye Atlama Büyüsü\n* 8. seviye Gizli Tesla\n* 6. seviye Bomba\n\nDestansı Savaş Dengelemeleri:\n* Kahramanların güçleri yeniden ayarlandı, savunmaları daha akılcı hale getirildi ve kahramanlara daha güçlü yetenekler verildi; daha fazla bilgiyi aşağıda bulabilirsin!\n* Atlama Büyüsü ile Atlamak artık çok daha etkili; daha fazla bilgiyi aşağıda bulabilirsin!\n* Valkyrie'ler artık diğer birliklerden çok daha hızlı hareket ediyor; daha fazla bilgiyi aşağıda bulabilirsin!\n* Cehennem Kulesi çoklu modda artık daha büyük saldırgan grupları daha yavaş yakıyor\n* Birlikler artık benzer duvar parçalarını yıkmak için birlikte çalışıyor\n\nArayüz İyileştirmeleri:\n* Savaşı yapılırken izlemek için devam eden Klan Savaşı saldırılarına dokun!\n* Belediye Binasına dokunarak kolayca tuzaklarını yeniden silahlandır ve savunmalarını doldur\n* Klan postası mesajların artık iki katı uzunlukta olabilir\n* Tek bir düğmeyle şimdiki köy tasarımını Klan Savaşı üssüne kopyala","新しいアップグレード：\n* レベル5 P.E.K.K.A\n* レベル3「ジャンプ」の呪文\n* レベル8隠しステラ\n* レベル6爆弾\n\n壮大な戦いのバランス改善：\n* ヒーローがより強くなり、これまで以上に賢く村を守り、さらに能力も強化されました。詳細は以下をご覧ください！\n* 「ジャンプ」の呪文を改善し、とても効果的な利用が可能になりました。詳細は以下をご覧ください！\n* バルキリーがかつて誰も見せたことのない動きをするようになりました。詳細は以下をご覧ください！\n* インフェルノタワーの複数同時攻撃が、村を攻めてくる大群をよりゆっくりと燃やすようになりました\n* 同じ壁の近くにいるユニット同士が協力して同じ壁を攻撃するようになりました\n\nインターフェースの向上：\n* 開催中のクラン対戦の攻撃をタップするとバトルの実況を見ることができるようになりました！\n* タウンホールをタップして簡単に罠の再配置や防衛施設の再装填ができるようになりました\n* クランメールで送れるメッセージの長さが2倍になりました\n* ボタン1つで村のレイアウトをクラン対戦の拠点にコピーできるようになりました","新的升级：\n*第5级皮卡超人\n*第3级弹跳法术\n*第9级特斯拉电磁塔\n*第6级隐形炸弹\n\n重新调整了史诗战斗的平衡性：\n*调整了英雄的战斗力、防御更加智能、增强了特殊能力，请参考下面的详细信息！\n*重做了弹跳法术，效果更好。请参考下列详情！\n*改善了女武神的移动方式。请参考下列详情！\n*地狱之塔多重模式现在可以缓慢灼伤大量入侵敌军\n*多个兵种可以联合攻破类似城墙\n\n界面改善：\n*点击正在进行的部落战争就可以观看实时战斗画面！\n*点击大本营就可以重新布置陷阱与装载防御工事\n*","새 업데이트:\n* 5레벨 P.E.K.K.A\n* 3레벨 이동 마법\n* 8레벨 숨겨진 뇌전탑\n* 6레벨 폭탄\n\n대규모 전투 밸런스 조정:\n* 영웅들의 힘이 조정되고 더 효과적으로 방어하며, 훨씬 강한 능력을 갖춥니다. 아래에서 자세히 읽어보세요!\n* 이동 마법의 놀라운 효과를 아래에서 자세히 확인해 보세요!\n* 발키리가 새로운 공격을 선보입니다. 아래에서 자세히 읽어보세요!\n* 인페르노 타워의 다중 공격 모드가 적들을 더 천천히 불태웁니다\n* 병력이 협공하여 비슷한 종류의 장벽을 돌파합니다.\n\n인터페이스 개선:\n* 진행 중인 클랜 전쟁 공격을 터치해 전투를 실시간으로 감상할 수 있습니다!\n* 마을 회관을 터치하면 함정 재설치와 방어 시설 장전을 더 쉽게 마칠 수 있습니다.\n* 클랜 메일 메시지 최대 길이가 2배로 늘어납니다.\n* 버튼 한 번만으로 현재 마을 배치 상태를 복사해 클랜 전쟁 기지에 붙여넣을 수 있습니다.","Обновления:\n*П.Е.К.К.А. 5 уровень\n* Прыгучие чары уровень 3\n* Потайная Тесла уровень 8\n* Бомба уровень 6\n\nПерелом в сражении:\n* Герои стали еще сильнее в боях, искуснее в защите, и способности их тоже стали лучше. Подробности ниже!\n* Новый взгляд на прыжки: перемены в Прыгучих чарах. Подробности читайте ниже!\n* Валькирии двигаются так, как никто и никогда прежде. Подробности читайте ниже!\n* У Адских башен появилось несколько режимов для медленного поджаривания орд врагов\n* Солдаты слаженнее ломают стены\n\nУлучшения интерфейса:\n* Коснитесь боя в Войне кланов, чтобы следить за его ходом в реальном времени!\n* Перезарядите ловушки и вооружите защиту одним касанием ратуши\n* Клановые письма стали вдвое длиннее\n* Копируйте планировку деревни в военную базу одним касанием"
"TID_NEWS_UPDATE_INFO_TEXT_SHORT","* Upgrade and re-arm all traps without using the shop\n* Level 12 Archer Towers\n* Level 6 Goblins\n* Spell factory boosting is now only 20 gems for 4 hours","* Améliorez vos pièges et réarmez-les sans avoir à retourner au magasin.\n* Tour d'archers niveau 12.\n* Gobelins niveau 6.\n* L'accélération de l'usine de sorts ne coûte que 20 gemmes pour 4 heures d'accélération.","* Verbessere und reaktiviere alle Fallen, ohne den Shop aufrufen zu müssen\n* Bogenschützenturm Level 12\n* Kobolde Level 6\n* Der Schub für die Zauberfabrik kostet jetzt nur 20 Juwelen für 4 Stunden","* Mejora y rearma tus trampas sin tener que ir a la tienda.\n* Torres de arqueras de nivel 12.\n* Duendes de nivel 6.\n* Acelera el caldero de hechizos durante 4 horas por solo 20 gemas.","* Migliora e riattiva tutte le trappole senza accedere al negozio\n* Torri degli arcieri di livello 12\n* Goblin di livello 6\n* Ora la fabbrica degli incantesimi richiede solo 20 gemme per 4 ore di potenziamento","* Upgrade en herlaad je vallen zonder naar de winkel te gaan.\n* Boogschuttertorens van level 12\n* Kobolden van level 6\n* Je kunt je spreukenfabriek nu 4 uur versnellen voor maar 20 edelstenen.","*Oppgrader og armer fellene igjen uten å bruke butikken\n*Bueskyttertårn på nivå 12\n*Nisser på nivå 6\n*Økt produksjon i magifabrikken i 4 timer koster nå bare 20 juveler","* Melhore e rearme todas as armadilhas sem usar a loja\n* Torres das Arqueiras nível 12\n* Goblins nível 6\n* A aceleração da Fábrica de Feitiços custa apenas 20 gemas por 4 horas","* Dükkanı kullanmadan tüm tuzaklarını yükselt ve yeniden silahlandır\n* 12. seviye Okçu Kuleleri\n* 6. seviye Goblinler\n* Büyü fabrikası güçlendirmesi artık 4 saatlik takviye için sadece 20 taş","* ショップを使わずに、全トラップをアップグレードしたり再利用しよう\n* レベル12アーチャータワー\n* レベル6ゴブリン\n* たったのエメラルド20個で呪文工場を4時間ブースト","* 无需使用商店即可升级并重新武装所有陷阱\n* 第12 级箭塔\n* 第6 级哥布林n* 法术工厂提速现在4小时仅需20颗宝石","* 상점에 갈 필요 없이 함정을 업그레이드하고 재장전하세요.\n* 레벨 12 아처 타워\n* 레벨 6 고블린\n* 이제 마법 제작소의 4시간 가속은 보석 20개입니다!","* Улучшайте и перевооружайте ловушки без использования магазина\n* Башни Лучниц 12-ого уровня\n* Гоблины 6-ого уровня\n* Ускорение Фабрики Заклинаний на 4 часа всего за 20 кристаллов"
"TID_BUILDING_DARK_TOWER","Inferno Tower","Tour de l'enfer","Infernoturm","Torre infernal","Torre infernale","Infernotoren","Infernotårn","Torre Inferno","Cehennem Kulesi","インフェルノタワー","地狱之塔","인페르노 타워","Адская Башня"
