"TID","NO"
"TID_LIGHTNINGDRAGON","Elektrodrage"
"TID_CHARACTER_INFO_LIGHTNINGDRAGON","Elektrodragen har jernharde skjell og puster ut livsfarlige lyn. Den pøser på med ødeleggelse ovenfra! Når elektrodragen blir felt, bombarderer den til og med bakken med lynnedslag!"
"TID_DIAMOND_BUNDLE_TH4_UPDATED_INFO","• Luftforsvar på nivå 2\n• <res0> gull\n• <res1> eliksir\n• <gems> juveler\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X høyere verdi</c>!"
"TID_DIAMOND_BUNDLE_TH4_ALT_UPDATED_INFO","• <res0> gull\n• <res1> eliksir\n• <gems> juveler\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH5_UPDATED_INFO","• Trollmannstårn på nivå 2\n• <res0> gull\n• <res1> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH5_ALT_UPDATED_INFO","• <res0> gull\n• <res1> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH6_UPDATED_INFO","• Trollmannstårn på nivå 3\n• Morter på nivå 4\n• <res0> gull\n• <res1> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH6_ALT_UPDATED_INFO","• <res0> gull\n• <res1> eliksir\n• <gems> juveler\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH7_UPDATED_INFO","• Teslatårn på nivå 2\n• Barbarkonge\n• <res0> mørk eliksir\n• <res1> gull\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH7_ALT_UPDATED_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH8_UPDATED_INFO","• Bombetårn på nivå 2\n• Trollmannstårn på nivå 5\n• <res0> mørk eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH8_ALT_UPDATED_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH9_UPDATED_INFO","• X-bue på nivå 2\n• Bueskytterdronning\n• <res0> mørk eliksir\n• <res1> gull\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH9_ALT_UPDATED_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH10_UPDATED_INFO","• Infernotårn på nivå 1\n• X-bue på nivå 2\n• <res0> mørk eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH10_ALT_UPDATED_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH11_UPDATED_INFO","• Ørneartilleri på nivå 1\n• Storvokter\n• <res0> mørk eliksir\n\nIngen byggetid, ingen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH11_ALT_UPDATED_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_NO_PRIVILEDGE_TO_EDIT","Du må ha en høyere rang i klanen for å kunne redigere notater"
"TID_SPECTATOR_CAN_NOT_CLAIM","Du deltar ikke i denne klankrigen"
"TID_CLAN_WAR_LEAGUE","Klankrigliga:"
"TID_CLAN_WAR_LEAGUE_JOIN_BUTTON","Bli med i liga"
"TID_CLAN_WAR_LEAGUE_SIGNUP_EXPIRY","Ligaregistreringen avsluttes om:<time>"
"TID_CLAN_WAR_LEAGUE_BUILDING_LEAGUE_BRACKET","Lager ligagruppe ..."
"TID_CLAN_WAR_LEAGUE_STARTS_IN","Ligaen begynner om:<time>"
"TID_WAR_LEAGUES","Krigsligaer"
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Som følge av henvendelsen din vil kontoen din snart slettes."
"TID_SELECT_LEAGUE_PARTICIPANTS","Velg deltakere til ligaen"
"TID_LEAGUE_WAR_SIZE","Størrelse på ligakrig <num> v <num>"
"TID_LEAGUE_MIN_SIZE","Velg minst <num> medlemmer til ligaen"
"TID_CHANGE_LEAGUE_WAR_PARTICIPANTS","Endre deltakere i krigen"
"TID_LEAGUE_SIZE","Liga: <num> medlemmer valgt"
"TID_POPUP_BOOST_SIEGE_WORKSHOP","Øke hastigheten på bygging av beleiringsmaskiner med <multiplier>x for <time>?"
"TID_BOOST_SIEGE_WORKSHOP_POPUP_TITLE","Sett fart på byggingen av beleiringsmaskiner!"
"TID_TRAINING_SCREEN_TAB_SIEGE_MACHINES","Bygg beleiringsmaskiner"
"TID_LEADER_CANNOT_LEAVE_ALLIANCE","Du må gjøre et annet klanmedlem til leder før du kan forlate klanen."
"TID_BUTTON_UPGRADE_WEAPON","Oppgrader våpen"
"TID_HOUSING_SIEGE_MACHINES_INSIDE","Beleiringsmaskiner:"
"TID_STREAM_EVENT_NAME_CHANGED","Endret navn til <name>"
"TID_TUTORIAL_TH12_1","Nå skyter rådhuset ditt tilbake når det blir angrepet!"
"TID_TUTORIAL_TH12_2","Du kan oppgradere våpenet for å gjøre det kraftigere."
"TID_WEAPON_TOWN_HALL","Gigatesla"
"TID_TOWN_HALL_WEAPON_INFO","Fiendene dine kommer til å få hakeslepp når de møter gigateslaen, den hissige storebroren i teslafamilien. Hvis en angriper så mye som lager en ripe i rådhusets maling, vil fresende elektriksitet blåse ham til himmels. En eim av kokosnøtter ... og metall vil være det eneste som er igjen."
"TID_CLAN_CASTLE_DEFEND","Hold vakt"
"TID_CLAN_CASTLE_SLEEP","Sov"
"TID_NOTIFICATION_ARMY","Hær"
"TID_NOTIFICATION_SHIELD_AND_GUARD","Skjold og vakt"
"TID_NOTIFICATION_UPGRADES","Oppgraderinger"
"TID_NOTIFICATION_RESOURCES","Ressurser og daglige bonuser"
"TID_NOTIFICATION_EVENTS","Hendelser"
"TID_NOTIFICATION_CLAN_GAMES","Klanleker"
"TID_NOTIFICATION_CLAN_WARS","Klankriger"
"TID_SETTINGS_NOTIFICATIONS","Varselinnstillinger"
"TID_EVENT_DONATION_INFO","Doner med bare 1 juvel!"
"TID_SIEGE_MACHINE_STORAGE_CAPACITY","Kapasitet for beleiringsmaskiner: <number>"
"TID_SPECIAL_OFFER_BUILDERBASE_ANNIVERSARY_ALLPRICEPOINTS","Jubileumspakke"
"TID_SPECIAL_OFFER_INFO_BUILDERBASE_ANNIVERSARY_9999","• <booster1>x rune av byggerens gull\n• <booster2>x rune av byggerens eliksir\n• <booster3>x stridsbok\n• <booster4>x byggebok\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes to ganger!\n\nStart oppgraderingene med denne utrolige pakken!"
"TID_SPECIAL_OFFER_INFO_BUILDERBASE_ANNIVERSARY_4999","• <booster1>x rune av byggerens gull\n• <booster2>x rune av byggerens eliksir\n• <booster3>x stridsbok\n• <booster4>x byggebok\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes fire ganger!\n\nStart oppgraderingene med denne utrolige pakken!"
"TID_SPECIAL_OFFER_INFO_BUILDERBASE_ANNIVERSARY_1999","• <booster1>x rune av byggerens gull\n• <booster2>x rune av byggerens eliksir\n• <booster3>x stridsbok\n• <booster4>x byggebok\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes ti ganger!\n\nStart oppgraderingene med denne utrolige pakken!"
"TID_SPECIAL_OFFER_INFO_BUILDERBASE_ANNIVERSARY_NOTIFICATION","Høvding, vi har et unikt tilbud til deg i forbindelse med jubileet til Byggerens base!"
"TID_CLAN_GAMES_REWARD_TIME_COUNTDOWN","Tid igjen: <time>"
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","Du har bedt om å få slettet denne kontoen. Du har <time> på deg til å avbryte slettingen."
"TID_UPDATE_REQUIRED_TO_CONTACT_SUPPORT","Du må oppdatere spillet til en nyere versjon for å kunne kontakte Hjelp og støtte."
"TID_UPDATE_REQUIRED_TO_CONTACT_SUPPORT_TITLE","Oppdatering påkrevd"
"TID_OVERVIEW_SIEGE_TITLE","Beleiringsmaskiner: <number>"
"TID_ARMY_OVERVIEW_HINT_SIEGE","Beleiringsmaskiner låses opp ved rådhusnivå 12"
"TID_AVATAR_MESSAGE_SUBJECT_THANK_YOU_FOR_REPORTING","Takk for at du meldte ifra!"
"TID_AVATAR_MESSAGE_TEXT_THANK_YOU_FOR_REPORTING","Spillere som bryter retningslinjene våre for trygg og rettferdig spilling, forstyrrer for alle, og rapporten din hjalp oss med å identifisere en av dem.\n\nVi kan ikke gi ut detaljer om kontoer som blir straffet, men rapporten din førte til sanksjoner mot den rapporterte spillerens konto. Rapporten din bidro til å gjøre Clash of Clans til et hyggeligere sted for alle.\n\nHvis du kommer over mer dårlig oppførsel, håper vi at du igjen hjelper fellesskapet ved å rapportere oppførselen til oss.\n\nMed vennlig hilsen\nSupercell"
"TID_HAMMERJAM_OFFER1_MAGICITEMS_BUILDER_POTION_AND_GOLD_INFO_999","• <res0> gull\n• <booster1>x byggerens drikk\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes fem ganger!\n\nFå mest mulig ut av oppgraderingenes årstid med Hammer Jam-tilbudet!"
"TID_HAMMERJAM_OFFER2_MAGICITEMS_WALLRING_AND_ALLRUNES_INFO_9999","• <booster1>x murring\n• <booster2>x rune av eliksir\n• <booster3>x rune av gull\n• <booster4>x rune av mørk eliksir\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes to ganger!\n\nKom i gang med oppgraderingene med denne utrolige oppgraderingspakken!"
"TID_HAMMERJAM_OFFER2_MAGICITEMS_WALLRING_AND_ALLRUNES_INFO_4999","• <booster1>x murring\n• <booster2>x rune av eliksir\n• <booster3>x rune av gull\n• <booster4>x rune av mørk eliksir\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes fire ganger!\n\nKom i gang med oppgraderingene med denne utrolige oppgraderingspakken!"
"TID_HAMMERJAM_OFFER2_MAGICITEMS_WALLRING_AND_ALLRUNES_INFO_1999","• <booster1>x murring\n• <booster2>x rune av mørk eliksir\n• <booster3>x byggerens drikk\n\n• Ingen lagringsbegrensninger!\n• Dette tilbudet kan kjøpes ti ganger!\n\nKom i gang med oppgraderingene med denne utrolige oppgraderingspakken!"
"TID_EVENT_TITLE_HAMMERJAM_PACK","Oppgraderingspakke"
"TID_LOCAL_NOTIFICATION_EVENT_HAMMERJAM_PACK","Høvding, vi har et unikt Hammer Jam-tilbud til deg!"
"TID_EVENT_TITLE_HAMMERJAM_PACK2","Oppdateringspakke"
"TID_LOCAL_NOTIFICATION_EVENT_HAMMERJAM_PACK2","Høvding, vi har et unikt oppdateringstilbud til deg!"
"TID_CLANGAMES_TASK_WIN_STARS_VS_TOWNHALL_12","Triumferende tolvere"
"TID_CLANGAMES_TASK_USE_SIEGERAMS","Knusende murknuser"
"TID_CLANGAMES_TASK_USE_SIEGEZEPPELINS","Stridsballongboogie"
"TID_CLANGAMES_TASK_USE_ELECTRODRAGON","Elektrodragemani"
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_12","Få <num> stjerner mot motstandere med rådhus 12 i flerspillerkamper."
"TID_CLANGAMES_TASK_INFO_USE_SIEGERAMS","Sikre deg <num> stjerner i flerspillerkamper ved bruk av <num2> murknuser."
"TID_CLANGAMES_TASK_INFO_USE_SIEGEZEPPELINS","Sikre deg <num> stjerner i flerspillerkamper ved bruk av <num2> stridsballong."
"TID_CLANGAMES_TASK_INFO_USE_ELECTRODRAGON","Sikre deg <num> stjerner i flerspillerkamper ved bruk av <num2> elektrodrager."
"TID_WAR_ATTACK_CONFIRM_CASTLE_TEXT_WITH_SIEGE","Klanslott-forsterkninger: <number>"
"TID_NEWS_CW_BD_GIFTS_TEXT","Feir klankrigenes jubileum! Få bonusjuveler til klanen din hver gang du kjøper <c80d8e8>juveler og klangaver</c>."
"TID_NAME_REPORT_TITLE","Rapportere <name>?"
"TID_NAME_REPORT_TEXT","Er du sikker på at du vil rapportere <name> som et upassende navn?"
"TID_FREE_NAME_CHANGE_INTRO_TEXT","Du har bare ett gratis navnebytte. Bruk det klokt, for fremtidige navnebytter vil koste deg juveler."
"TID_PAID_NAME_CHANGE_INTRO_TEXT","Vil du bruke juveler til å endre navn?\nDersom du velger et upassende navn, forbeholder vi oss retten til å endre dette uten å betale tilbake juvelene dine."
"TID_NAME_CHANGE_LIMIT_EXCEEDED","Du har brukt det maksimale antallet navnebytter."
"TID_OBSTACLE_BIRTHDAY2018","Kake til 6-årsjubileet"
"TID_DIAMOND_BUNDLE_TH12_INFO","• Verksted på nivå 1\n• <res0> mørk eliksir\n• <res1> gull\n\nIngen byggetid, ingen lagringsbegrensninger! Med verkstedet kan du begynne byggingen av beleiringsmaskiner med det samme!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X høyere verdi</c>!"
"TID_DIAMOND_BUNDLE_TH12_ALT_INFO","• <res0> mørk eliksir\n• <res1> gull\n• <res2> eliksir\n\nIngen lagringsbegrensninger!\n\nIkke gå glipp av dette engangstilbudet med <cffec78><value>X</c> høyere verdi!"
"TID_DIAMOND_BUNDLE_TH12","Rådhus 12-pakke"
"TID_PLAYER_PROFILE_SIEGE","Beleirings-\nmaskiner"
"TID_SIEGE_MACHINES_OVERVIEW","Oversikt"
"TID_SIEGE_MACHINES_BATTLE","I kamp"
"TID_SIEGE_MACHINES_OVERVIEW_TEXT","Beleiringsmaskinene gir deg en ny og alternativ måte å frakte forsterkninger fra klanslottet på. I stedet for å utplassere troppene fra utkanten av kartet kan du bruke beleiringsmaskiner til å frakte dem rett til hjertet av fiendens landsby! I verkstedet kan du bygge en beleiringsmaskin til deg selv, men klanvenner kan også gi deg en i gave. Husk at klanslottet ditt må være på nivå 6 eller høyere for å ha plass til en beleiringsmaskin."
"TID_SIEGE_MACHINES_BATTLE_TEXT","Hver beleiringsmaskin har sin egen unike måte å ødelegge på. Hvis du bygger flere beleiringsmaskiner, kan du velge hvilken du ønsker å bruke fra start i et slag. I tillegg kan du, hvis du foretrekker å ikke bruke beleiringsmaskinen din, likevel utplassere forsterkningene fra klanslottet på den gode, gamle måten ved å veksle til klanslottbanneret i troppelinjen. Ikke glem å be klanvennene dine om klanslott-tropper! Hvis klanslottet ditt er tomt, betyr det at beleiringsmaskinene også er tomme. Det fins ingen feil valg når det gjelder valg av beleiringsmaskin. Til syvende og sist er det opp til deg å avgjøre hvilken som passer best til sammensetningen din av klanslott-tropper!"
"TID_NAME_CHANGE_ON_COOLDOWN","Du må vente i <time> for å endre navnet ditt igjen."
"TID_OVERQUEUE_HELPER_SIEGE_MACHINE","Disse beleiringsmaskinene slutter seg til hæren din når den får ledig plass!"
"TID_SIEGE_MACHINES_TROOP_BAR_HINT","<name> er tom!"
"TID_WL_WARLESS_DAY","Spiller ikke"
"TID_WL_WARLESS_DAY_INFO","Andre klaner kjemper i dag. Gjør deg klar for morgendagens krig."
"TID_WL_WARLESS_DAY_INFO_END","Andre klaner kjemper i dag. Ligaresultatene offentliggjøres i morgen."
"TID_WL_LEAGUE_INFO_BUTTON","Sesonginfo"
"TID_OBSTACLE_HALLOWEEN2018","Heksens hatt"
"TID_NPC51","Invasjonsstyrker"
"TID_NPC52","Kryss og buer"
"TID_NPC53","En tur i skogen"
"TID_NPC54","Skjelettløpet"
"TID_NPC55","Magiøving"
"TID_NPC56","Høyt trykk"
"TID_NPC57","Flyforbudssone"
"TID_NPC58","Avgangsseremoni"
"TID_NPC59","Brennende tårn"
"TID_NPC60","Angrep fra alle kanter"
"TID_NPC61","En sviende følelse"
"TID_NPC62","Løsning under bakkenivå"
"TID_NPC63","En mulighet for lagarbeid"
"TID_NPC64","Bowlingbane"
"TID_NPC65","Hold hodet kaldt"
"TID_NPC66","Ørneredet"
"TID_NPC67","Fyrverkeri AS"
"TID_NPC68","Nissehovedstad"
"TID_NPC69","Velg en gift"
"TID_NPC70","Arenaen"
"TID_NPC71","Papirkart"
"TID_NPC72","Feller er merket med flagg"
"TID_NPC73","Storgata"
"TID_NPC74","Beleiret"
"TID_NPC75","Dragereiret"
"TID_MAP_LOCATION_15","Dronningens paradis"
"TID_MAP_LOCATION_16","Smuldrende åser"
"TID_MAP_LOCATION_17","Dragesjøen"
"TID_MAP_LOCATION_18","Ørnestien"
"TID_MAP_LOCATION_19","Ålsjøen"
"TID_MAP_LOCATION_20","Nynnende fjell"
"TID_MAP_LOCATION_21","Urolige farvann"
"TID_MAP_LOCATION_22","Uttørket innsjø"
"TID_WL_TAB_BRACKET_LEADERBOARD","Gruppe"
"TID_WL_TAB_BRACKET_WARS","Runder"
"TID_WL_TAB_CLAN_WARS","Sesongrekord"
"TID_PERSONALISED_SHOP_DESCRIPTION","Hvis dette er påslått, får du tilbud i butikken som kan være mer relevante for deg."
"TID_WL_COLUMN_POSITION","Plassering"
"TID_WL_COLUMN_CLAN_NAME","Klan"
"TID_WL_COLUMN_WINS","Seire"
"TID_WL_COLUMN_STARS","Stjerner"
"TID_WL_COLUMN_DETAILS","Detaljer"
"TID_WL_SEASON_NAME","Krigsligasesong: <month> <year>"
"TID_WL_CURRENT_ROUND","Pågående runde: <x>/<y>"
"TID_WL_SEASON_ENDED","Sesongen er over"
"TID_SETTINGS_TROOP_REQUEST","Vis bare relevante anmodninger om forsterkninger"
"TID_SETTINGS_TROOP_REQUEST_HELP","Hvis dette er påslått, vil du bare se anmodninger om forsterkninger hvis du har noe som kan doneres."
"TID_WL_DAY_TITLE","Runde <x>"
"TID_WL_OTHER_PLAYER_EDITING_ROSTER","Et annet klanmedlem redigerer allerede listen over krigsdeltakere."
"TID_WL_CANNOT_EDIT_ROSTER","Listen over krigsdeltakere kan ikke redigeres nå."
"TID_WL_FAILED_TO_EDIT_ROSTER","Kunne ikke lagre endringene på listen over krigsdeltakere."
"TID_BUILDING_GOBLIN_CASTLE","Nisseslott"
"TID_BUILDING_DRAGON_CAVE","Illevarslende grotte"
"TID_DECORATION_SWORD_IN_STONE","Stormesterstatuen"
"TID_WL_BREAK_DAY","Pauserunde"
"TID_WL_UPCOMING_WAR_TITLE","Kommende krig"
"TID_BOOSTER_FREE_BUILDING_UPGRADE","Byggehammer"
"TID_BOOSTER_FREE_BUILDING_UPGRADE_INFO","Et slag med denne magiske hammeren vil øyeblikkelig oppgradere en bygning til neste nivå. Forutsetter en ledig bygger. Fungerer i begge landsbyene!"
"TID_BOOSTER_FREE_HERO_UPGRADE","Heltehammer"
"TID_BOOSTER_FREE_HERO_UPGRADE_INFO","Et slag med denne magiske hammeren vil øyeblikkelig oppgradere en helt eller kjæledyr til neste nivå. Fungerer i begge landsbyene!"
"TID_BOOSTER_FREE_TROOP_UPGRADE","Stridshammer"
"TID_BOOSTER_FREE_TROOP_UPGRADE_INFO","Et slag med denne magiske hammeren vil øyeblikkelig oppgradere en troppetype til neste nivå. Fungerer i begge landsbyene!"
"TID_BOOSTER_FREE_SPELL_UPGRADE","Formelhammer"
"TID_BOOSTER_FREE_SPELL_UPGRADE_INFO","Et slag med denne magiske hammeren vil øyeblikkelig oppgradere en formel til neste nivå. Fungerer i hjemlandsbyen!"
"TID_SHOP_CATEGORY_OFFERS","Spesialtilbud"
"TID_SHOP_CATEGORY_PRIZES","Ligabutikk"
"TID_SHOP_CATEGORY_BUILD","Bygninger og feller"
"TID_SHOP_CATEGORY_TRAPS","Feller"
"TID_SELECT_TROOP_OR_SPELL","Velg en enhet eller formel å utplassere."
"TID_WL_ROUND_INFO_BUTTON","Krigsinfo"
"TID_SHOP_CATEGORY_FLAGS","Flagg"
"TID_MEDALS","Ligamedaljer"
"TID_WL_BREAK_DAY_INFO","Hver klan i gruppen har én fridag denne sesongen. I dag er det din tur til å hvile."
"TID_CHARACTER_SKELETON_BARREL","Skjelettønne"
"TID_CHARACTER_INFO_SKELETON_BARREL","Er det en fugl? Er det et fly? Nei, bare Ingar, Inge, Ingve og et dusin av vennene deres. De er på vei mot nærmeste bygning i en tønne full av knokler!"
"TID_WL_BUTTON_CHANGE_MEMBERS","Endre medlemmer"
"TID_WL_WAR_TITLE","Krig <x>"
"TID_WL_WAR_INDICATOR_SHORT","Krig <x>/<y>"
"TID_LEAGUE_EXACT_SIZE","Velg <num> deltakere til krigen."
"TID_POPUP_BOOSTER_INSTANT_UPGRADE_TITLE","Oppgrader nå!"
"TID_POPUP_BOOSTER_INSTANT_UPGRADE","Vil du bruke <booster> til å oppgradere <item> øyeblikkelig?"
"TID_TRAP_TORNADO","Tornadofelle"
"TID_TRAP_TORNADO_INFO","Vind og steiner kan knuse både marg og bein, men dette er en felle som vil gjøre deg målløs. Bare sett fra deg en, så slippes det løs en virvelvind som trekker til seg fiender og hindrer dem i å ta seg videre."
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","Knus de andre nissene!"
"TID_CLANGAMES_TASK_DESTROY_MV_BUILDINGS","Rivemester"
"TID_CLANGAMES_TASK_DESTROY_BB_BUILDINGS","Bang bang bygning"
"TID_CLANGAMES_TASK_DESTROY_MV_WALLS","Murgruser"
"TID_CLANGAMES_TASK_DESTROY_BB_WALLS","Murutrydding"
"TID_CLANGAMES_TASK_SPEEDY_STARS_BB","Plutselige stjerner"
"TID_CLANGAMES_TASK_SPEEDY_STARS_MV","Raske stjerner"
"TID_CLANGAMES_TASK_INFO_DESTROY_MV_BUILDINGS","Ødelegg <num> bygninger i flerspillerkamper."
"TID_CLANGAMES_TASK_INFO_DESTROY_BB_BUILDINGS","Ødelegg <num>x bygninger i byggerkamper."
"TID_CLANGAMES_TASK_INFO_DESTROY_MV_WALLS","Ødelegg <num> murseksjoner i flerspillerkamper."
"TID_CLANGAMES_TASK_INFO_DESTROY_BB_WALLS","Ødelegg <num>x murseksjoner i byggerkamper."
"TID_CLANGAMES_TASK_INFO_SPEEDY_STARS_BB","Samle <num> stjerner fra byggerkamper. Bare stjerner du samler i løpet av de <num2> første sekundene, teller."
"TID_CLANGAMES_TASK_INFO_SPEEDY_STARS_MV","Samle <num> stjerner fra flerspillerkamper. Bare stjerner du samler i løpet av de <num2> første sekundene, teller."
"TID_WL_LEAGUE_RESULT","Sesongresultater"
"TID_WL_COLUMN_LOSSES","Tap"
"TID_WL_COLUMN_DRAWS","Uavgjorte"
"TID_POPUP_GIFT_RECEIVED_TITLE","Bonusressurser"
"TID_POPUP_GIFT_RECEIVED_TEXT","Du har løst inn kampanjekoden din mot bonusressurser. Du finner mer informasjon i postkassen din i spillet!"
"TID_POPUP_GIFT_RECEIVED_BUTTON","OK"
"TID_WL_TAB_CLAN_MEMBERS","Klan"
"TID_WL_TAB_SEASON_SUMMARY","Sesongresultater"
"TID_WL_TAB_SELECT_BONUSES","Velg bonuser"
"TID_STREAM_EVENT_STARTED_WAR_LEAGUE","startet søk etter klankrigliga"
"TID_STREAM_EVENT_CANCELLED_WAR_LEAGUE","avbrøt søk etter klankrigliga"
"TID_WL_COLUMN_PLAYER_NAME","Navn"
"TID_WL_COLUMN_WARS","Kriger"
"TID_WL_COLUMN_DESTRUCTION","Prosent ødelagt"
"TID_WL_COLUMN_ATTACKS","Angrep"
"TID_WL_RESULT_PROMOTED","Klanen din rykket opp til"
"TID_WL_RESULT_STAYED","Klanen din ble værende i"
"TID_WL_RESULT_DEMOTED","Klanen din rykket ned til"
"TID_WL_PERSONAL_REWARDS","Dine belønninger:"
"TID_WL_BUTTON_SEND_BONUSES","Del ut bonuser"
"TID_WL_BONUSES_FAILED_NO_RIGHTS","Bare ledere og ass. ledere kan dele ut bonuser!"
"TID_GIFT_RECEIVED_INBOX_TEXT","Du har løst inn kampanjekoden din mot bonusressurser. Ressursene til venstre er lagt til beholdningen din."
"TID_TRAP_SHRINK_SP","Nissekrympefelle"
"TID_TRAP_FREEZE_SP","Nissefrysefelle"
"TID_WL_INFO_SIGNUP_TITLE","Krigsligaer"
"TID_WL_INFO_SIGNUP_TAB0_HEADER","Oversikt"
"TID_WL_INFO_SIGNUP_TAB1_HEADER","Deltagelse"
"TID_WL_INFO_SIGNUP_TAB2_HEADER","Belønninger"
"TID_WL_INFO_SIGNUP_TAB0_TEXT","<cFCE27F>Hva er klankrigligaer?</c>\n\nKlankrigligaer er den ultimate konkurransen for klaner. Det er en månedlig liga hvor din klan kjemper mot sju andre for å finne ut hvem som er den beste. Kampene mot de sju andre klanene foregår i sju kriger over sju dager. Klanene som får flest stjerner, rykker opp til neste liga, mens resten blir værende i ligaen eller rykker ned. Måneden etter fortsetter du der du slapp. Desto høyere klanen kommer, jo flere belønninger og mer ære kan dere få. Fortsett å klatre oppover med klanen, så kan dere til slutt bli verdens beste klan!"
"TID_WL_SELECT_BONUS","Velg"
"TID_WL_MUST_SELECT_ALL_BONUSES","Velg flere medlemmer, ikke alle bonusene er tilordnet!"
"TID_WL_ALL_BONUSES_ALLOCATED","Alle bonusene er tilordnet. Fjern valget av et annet medlem."
"TID_PROMOTED_TO_TEXT","Rykket opp til"
"TID_STAYS_AT_TEXT","Blir i"
"TID_DEMOTED_TO_TEXT","Rykket ned til"
"TID_NOT_ENOUGH_SPACE_IN_TREASURY","Rådhuset ditt har ikke plass til <booster>."
"TID_WL_SEARCHING_FOR_OPPONENTS","Søker etter motstanderklaner ..."
"TID_WL_PARTICIPANTS_HEADER","Ligadeltakere:"
"TID_WL_STARTWAR_INFO_LEADER","Kjemp i en gruppe med <size> klaner for å se hvilken som er sterkest. Sikre dere ære, bonusutbytte, klan-XP og ligamedaljer!\n\nEr klanen din klar? Bli med i ligaen!\nRegistreringen avsluttes:<time>"
"TID_WL_STARTWAR_INFO_CLANMEMBER","Kjemp i en gruppe med <size> klaner for å se hvilken som er sterkest. Sikre dere ære, bonusutbytte, klan-XP og ligamedaljer!\n\n\nKlar til å sette i gang? Be en klanleder om å melde på klanen!\nRegistreringen avsluttes:<time>"
"TID_WL_NORMAL_WAR_AVAILABLE_TEXT","Det kreves minst 15 klanmedlemmer. Normale klankriger vil være tilgjengelige for ikke-deltagende klaner når ligaregistreringen er over."
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","Drakedreperen"
"TID_ACHIEVEMENT_DRAGON_SLAYER","Drep kjempedragen på kampanjekartet"
"TID_BUY_PRIZE_SHOP_ITEM_HEADER","Kjøpe <item>?"
